"","dob","in_custody","out_custody","decile_score"
"82",0.42137,0.87075,0.89586,5
"83",0.49771,0.96096,1,3
"84",0.51243,0.95886,0.96093,6
"85",0.50983,0.72618,0.73252,7
"86",0.60176,0.95908,0.95918,10
"87",0.34338,0.89059,0.89796,7
"88",0.5197,0.70801,0.71369,9
"89",0.43856,0.82679,0.85614,5
"90",0.64635,0.86895,0.87021,6
"91",0.60152,0.86764,0.87638,8
"92",0.33078,0.80396,0.81936,4
"93",0.50877,0.69386,0.70345,7
"94",0.51393,0.91588,0.92241,7
"95",0.49833,0.79396,0.80535,8
"96",0.62755,0.8074,0.85075,10
"97",0.49989,0.96293,1,6
"98",0.35829,0.81027,0.84177,9
"99",0.52224,0.86152,0.88458,9
"100",0.51937,0.71238,0.73702,10
"101",0.33414,0.70929,0.71159,7
"102",0.39799,0.68405,0.69069,5
"103",0.54836,0.84551,0.88862,5
"104",0.6608,0.91851,0.92315,10
"105",0.68883,0.90935,0.92599,3
"106",0.64053,0.89539,0.90873,5
"107",0.53664,0.79617,0.80663,9
"108",0.63171,0.84947,0.87174,9
"109",0.57308,0.78259,0.80885,8
"110",0.38223,0.95388,1,3
"111",0.59122,0.9329,0.9329,3
"112",0.60166,0.88203,0.89203,7
"113",0.41157,0.7529,0.77415,3
"114",0.70782,0.89365,0.91086,8
"115",0.41342,0.67258,0.67553,10
"116",0.52235,0.95968,1,10
"117",0.60119,0.93859,0.94951,10
"118",0.7176,0.90056,0.92935,10
"119",0.65037,0.91851,0.92698,8
"120",0.47678,0.95126,1,8
"121",0.538,0.94088,0.95796,7
"122",0.54464,0.76874,0.79207,10
"123",0.55852,0.80516,0.83272,9
"124",0.70394,0.95757,1,9
"125",0.35829,0.77451,0.7901,9
"126",0.53664,0.87051,0.87141,9
"127",0.68001,0.89198,0.89263,8
"128",0.74787,0.94203,1,9
"129",0.40853,0.71541,0.71809,9
"130",0.53683,0.86807,0.8802,8
"131",0.50953,0.77896,0.79123,7
"132",0.60827,0.91706,0.91897,8
"133",0.50224,0.72517,0.80658,4
"134",0.7161,0.9505,0.95774,10
"135",0.3036,0.70651,0.70976,4
"136",0.46795,0.7303,0.75768,5
"137",0.44807,0.84144,0.84152,8
"138",0.35655,0.76115,0.7721,8
"139",0.63526,0.90569,0.93028,9
"140",0.54464,0.91698,0.92154,10
"141",0.70883,0.94279,1,8
"142",0.59078,0.85578,0.8628,9
"143",0.61447,0.95413,1,9
"144",0.40023,0.69591,0.70629,6
"145",0.5197,0.72749,0.73071,9
"146",0.68673,0.90818,0.91728,9
"147",0.61887,0.8728,0.88182,7
"148",0.35351,0.95796,1,4
"149",0.60974,0.77778,0.80442,9
"150",0.49074,0.85179,0.87403,10
"151",0.37679,0.70055,0.74475,9
"152",0.682,0.89102,0.89272,3
"153",0.40933,0.82177,0.86269,6
"154",0.47331,0.74281,0.76978,10
"155",0.47681,0.8619,0.86485,8
"156",0.71306,0.912,0.92635,9
"157",0.48877,0.67968,0.68711,6
"158",0.41075,0.68681,0.68889,4
"159",0.61802,0.8436,0.8701,7
"160",0.66897,0.90072,0.92695,9
"161",0.50697,0.86993,0.88299,8
"162",0.39214,0.68482,0.69159,8
"163",0.54557,0.72918,0.7332,9
"164",0.43219,0.7264,0.79095,6
"165",0.46047,0.86417,0.88354,1
"166",0.4932,0.78961,0.80292,8
"167",0.53907,0.76836,0.79704,6
"168",0.39968,0.69476,0.70582,6
"169",0.65162,0.89747,0.91061,6
"170",0.44066,0.9405,1,4
"171",0.44965,0.81606,0.82125,6
"172",0.55652,0.82734,0.84097,7
"173",0.75549,0.9461,0.96173,3
"174",0.39321,0.74525,0.80346,10
"175",0.62714,0.95582,1,9
"176",0.60176,0.81161,0.8233,10
"177",0.46153,0.81887,0.82887,8
"178",0.64706,0.85712,0.8913,9
"179",0.44238,0.84321,0.84854,7
"180",0.47522,0.87381,0.87608,8
"181",0.47443,0.6929,0.69853,6
"182",0.51393,0.76131,0.76131,7
"183",0.61313,0.87414,0.881,8
"184",0.47443,0.87548,0.8964,6
"185",0.45039,0.69312,0.7005,10
"186",0.6193,0.78374,0.82518,8
"187",0.43156,0.78005,0.82057,5
"188",0.48932,0.76574,0.78295,8
"189",0.64127,0.95331,1,6
"190",0.63255,0.84928,0.86463,9
"191",0.66826,0.93711,0.96006,5
"192",0.64411,0.81253,0.81915,10
"193",0.6472,0.85157,0.9087,5
"194",0.66963,0.95905,1,10
"195",0.49077,0.78696,0.80554,9
"196",0.56488,0.7862,0.80043,10
"197",0.62816,0.81838,0.83076,7
"198",0.69124,0.89192,0.90113,9
"199",0.6402,0.86215,0.86485,10
"200",0.41512,0.85674,0.86657,9
"201",0.60026,0.89313,0.89441,10
"202",0.47476,0.89307,0.8952,7
"203",0.41654,0.77737,0.79926,8
"204",0.45031,0.80019,0.8613,8
"205",0.74844,0.96293,1,8
"206",0.72019,0.9111,0.93572,5
"207",0.60075,0.89613,0.90206,9
"208",0.5665,0.87343,0.87941,10
"209",0.66512,0.9623,1,10
"210",0.4281,0.68995,0.69498,8
"211",0.46533,0.8728,0.90296,5
"212",0.41769,0.82557,0.836,9
"213",0.5448,0.864,0.87941,7
"214",0.59942,0.85947,0.87141,10
"215",0.4214,0.66903,0.67236,6
"216",0.48574,0.88427,0.92274,9
"217",0.63919,0.80363,0.81775,10
"218",0.53907,0.85239,0.86829,10
"219",0.36097,0.58425,0.59513,8
"220",0.67736,0.9541,1,5
"221",0.38214,0.71205,0.71809,8
"222",0.63807,0.85269,0.85936,10
"223",0.59865,0.77915,0.80054,6
"224",0.576,0.89537,0.91356,9
"225",0.38234,0.87471,0.90517,7
"226",0.61627,0.95643,1,9
"227",0.6994,0.94796,1,9
"228",0.5003,0.79215,0.80483,6
"229",0.66132,0.8722,0.89373,9
"230",0.37693,0.67965,0.68211,6
"231",0.74153,0.95962,1,10
"232",0.62113,0.8642,0.88111,7
"233",0.57119,0.94629,0.95894,7
"234",0.54674,0.91698,0.92766,4
"235",0.64569,0.87471,0.88078,8
"236",0.73877,0.95776,1,7
"237",0.46192,0.77418,0.78295,6
"238",0.49984,0.7594,0.77451,7
"239",0.57286,0.83808,0.85947,4
"240",0.67823,0.93998,1,6
"241",0.62829,0.94495,0.95356,7
"242",0.40897,0.78024,0.81264,7
"243",0.53084,0.87551,0.88523,8
"244",0.45959,0.72752,0.73071,8
"245",0.63572,0.94878,1,10
"246",0.65894,0.85354,0.85947,10
"247",0.62714,0.93178,0.94126,9
"248",0.70055,0.93725,0.94356,7
"249",0.39029,0.79191,0.80606,5
"250",0.6378,0.89351,0.90435,9
"251",0.53896,0.7898,0.80256,7
"252",0.44288,0.62021,0.63605,5
"253",0.51317,0.84188,0.85114,2
"254",0.47476,0.9547,1,1
"255",0.31453,0.74686,0.76549,9
"256",0.42345,0.84201,0.86444,9
"257",0.48604,0.7942,0.83764,6
"258",0.48724,0.8151,0.84884,7
"259",0.50003,0.86827,0.87559,9
"260",0.44085,0.95031,1,9
"261",0.46129,0.88242,0.90845,2
"262",0.67883,0.87283,0.91591,4
"263",0.43156,0.64214,0.64742,5
"264",0.74126,0.96096,1,9
"265",0.55956,0.85947,0.86564,9
"266",0.40031,0.71541,0.71809,7
"267",0.67359,0.9228,0.92408,10
"268",0.68446,0.95943,1,8
"269",0.556,0.78467,0.89272,7
"270",0.43299,0.70361,0.7132,6
"271",0.68566,0.88064,0.89367,9
"272",0.66747,0.91392,0.92807,9
"273",0.55527,0.82098,0.87111,3
"274",0.38234,0.92329,0.93258,7
"275",0.74208,0.95178,0.95809,3
"276",0.42711,0.82996,0.83608,5
"277",0.556,0.90496,0.90886,7
"278",0.41872,0.71817,0.7562,7
"279",0.66774,0.8793,0.91831,9
"280",0.40864,0.72227,0.75298,2
"281",0.54942,0.74568,0.74792,10
"282",0.63356,0.85715,0.87365,7
"283",0.43891,0.69858,0.70468,3
"284",0.49833,0.87477,0.88264,8
"285",0.75208,0.94342,1,9
"286",0.64534,0.79368,0.81185,9
"287",0.55805,0.82327,0.84174,4
"288",0.6357,0.86348,0.87695,10
"289",0.65793,0.88356,0.91684,4
"290",0.44965,0.8227,0.82393,6
"291",0.3325,0.72216,0.72861,6
"292",0.57936,0.90072,0.92001,8
"293",0.38165,0.71539,0.81158,7
"294",0.66337,0.9361,0.94927,7
"295",0.58032,0.8587,0.87283,10
"296",0.40886,0.813,0.82308,4
"297",0.44913,0.67965,0.6823,5
"298",0.39468,0.6885,0.69121,3
"299",0.47651,0.76019,0.80876,8
"300",0.47902,0.72812,0.74639,8
"301",0.62504,0.83494,0.85362,10
"302",0.72921,0.94547,0.9502,8
"303",0.66239,0.88067,0.88859,8
"304",0.46533,0.84488,0.84677,5
"305",0.4373,0.94132,0.94722,2
"306",0.611,0.8239,0.84119,7
"307",0.62807,0.85373,0.85559,9
"308",0.49852,0.87433,0.876,9
"309",0.40031,0.83819,0.8657,7
"310",0.39119,0.68394,0.69427,8
"311",0.40425,0.8042,0.84062,8
"312",0.6248,0.92233,0.92823,7
"313",0.68001,0.96102,1,8
"314",0.52071,0.80013,0.80721,9
"315",0.70623,0.91239,0.93514,10
"316",0.60002,0.88564,0.90364,6
"317",0.69247,0.96173,1,9
"318",0.59698,0.90856,0.92673,10
"319",0.57693,0.84565,0.85286,9
"320",0.60879,0.95413,0.96134,10
"321",0.64493,0.95388,0.96145,7
"322",0.52516,0.70801,0.72058,8
"323",0.74052,0.95599,1,8
"324",0.29972,0.94113,1,6
"325",0.58021,0.90569,0.91326,5
"326",0.29868,0.66605,0.67932,6
"327",0.55019,0.755,0.76216,7
"328",0.64427,0.88427,0.89023,8
"329",0.57212,0.74924,0.76112,9
"330",0.67471,0.95981,0.96246,3
"331",0.58032,0.90058,0.93053,9
"332",0.39321,0.71235,0.71446,10
"333",0.43055,0.85368,0.88635,5
"334",0.75915,0.94954,1,9
"335",0.5671,0.96058,1,2
"336",0.40542,0.7147,0.72077,6
"337",0.7259,0.93692,0.95143,10
"338",0.39974,0.8166,0.81685,6
"339",0.65949,0.94298,0.94984,7
"340",0.40031,0.88318,0.90501,7
"341",0.35988,0.755,0.77964,7
"342",0.4493,0.87761,0.87862,8
"343",0.51951,0.88373,0.90017,7
"344",0.57431,0.76686,0.78262,10
"345",0.44965,0.80076,0.81371,6
"346",0.61116,0.86917,0.87643,10
"347",0.44749,0.87796,0.88509,8
"348",0.68263,0.92654,0.93263,8
"349",0.417,0.66149,0.66348,9
"350",0.63608,0.83576,0.8445,9
"351",0.48607,0.88468,0.88589,10
"352",0.61051,0.80442,0.82939,10
"353",0.62714,0.88417,0.89433,9
"354",0.43689,0.68099,0.68378,3
"355",0.43151,0.88105,0.89026,10
"356",0.69386,0.95714,1,6
"357",0.54557,0.80573,0.81259,9
"358",0.69216,0.95216,0.95757,9
"359",0.39321,0.91875,0.9243,10
"360",0.61603,0.91105,0.93154,10
"361",0.37693,0.69328,0.69749,6
"362",0.41872,0.61526,0.62747,7
"363",0.34644,0.74126,0.76044,7
"364",0.3036,0.90075,0.91452,4
"365",0.52505,0.76839,0.77918,4
"366",0.59144,0.77647,0.79144,10
"367",0.58136,0.92831,0.93017,10
"368",0.44798,0.84029,0.84045,9
"369",0.56273,0.88239,0.88993,10
"370",0.67995,0.95569,1,8
"371",0.7259,0.9187,0.93181,10
"372",0.36676,0.67321,0.67637,6
"373",0.38876,0.68577,0.69424,4
"374",0.66856,0.93495,1,6
"375",0.52235,0.73112,0.73874,10
"376",0.58338,0.86745,0.91228,9
"377",0.65386,0.95375,0.95528,8
"378",0.74659,0.96268,1,9
"379",0.44992,0.63422,0.6499,8
"380",0.649,0.89384,0.90239,9
"381",0.39414,0.89304,0.91408,7
"382",0.32712,0.70416,0.71722,6
"383",0.60004,0.79387,0.81442,9
"384",0.58338,0.81122,0.82805,9
"385",0.66132,0.83302,0.85614,9
"386",0.69165,0.93667,1,10
"387",0.48724,0.70495,0.70686,7
"388",0.68788,0.96287,1,9
"389",0.5665,0.8195,0.82423,10
"390",0.66318,0.90173,0.90717,10
"391",0.75221,0.95255,0.95506,9
"392",0.56535,0.8466,0.86075,3
"393",0.56893,0.95178,0.95979,5
"394",0.33644,0.88042,0.88127,8
"395",0.49781,0.80822,0.81016,5
"396",0.39031,0.9078,0.91135,9
"397",0.4499,0.82212,0.86286,4
"398",0.44435,0.63239,0.6363,8
"399",0.4973,0.68176,0.71091,6
"400",0.65744,0.84687,0.86775,5
"401",0.33371,0.65334,0.67288,9
"402",0.4069,0.62785,0.63824,7
"403",0.61889,0.94954,1,7
"404",0.50953,0.7506,0.75634,7
"405",0.46306,0.79732,0.8369,4
"406",0.40113,0.8139,0.84802,7
"407",0.32925,0.75311,0.77669,9
"408",0.34209,0.72746,0.73145,7
"409",0.69481,0.9417,0.95572,8
"410",0.61138,0.89788,0.90263,9
"411",0.32712,0.81562,0.85452,6
"412",0.58177,0.86501,0.88403,10
"413",0.58013,0.90684,0.92932,10
"414",0.48956,0.87974,0.88556,10
"415",0.51317,0.90987,0.92684,2
"416",0.43941,0.96115,1,6
"417",0.64824,0.87324,0.90135,7
"418",0.70274,0.9361,1,7
"419",0.58428,0.76781,0.78521,3
"420",0.47167,0.71386,0.76044,5
"421",0.48118,0.65629,0.66706,10
"422",0.54103,0.75749,0.77623,9
"423",0.35217,0.68356,0.6887,9
"424",0.5318,0.79999,0.82182,6
"425",0.59502,0.90225,0.91463,8
"426",0.65914,0.90804,0.91632,8
"427",0.6122,0.8613,0.86654,5
"428",0.57109,0.94705,0.94755,5
"429",0.43689,0.63509,0.64086,3
"430",0.65649,0.86846,0.8922,9
"431",0.59961,0.89864,0.90834,6
"432",0.41654,0.83436,0.85258,8
"433",0.57264,0.93782,0.94566,10
"434",0.69938,0.9526,1,8
"435",0.40023,0.70929,0.71927,6
"436",0.72514,0.94094,0.95987,8
"437",0.60466,0.80322,0.81439,8
"438",0.39269,0.79565,0.79715,4
"439",0.49664,0.71694,0.74303,8
"440",0.62925,0.83226,0.85196,8
"441",0.72864,0.93749,0.94987,9
"442",0.38649,0.69189,0.69722,5
"443",0.64184,0.88567,0.92053,7
"444",0.62977,0.94648,0.95028,7
"445",0.5012,0.87682,0.90474,3
"446",0.40113,0.87914,0.88706,8
"447",0.60073,0.84106,0.85075,7
"448",0.60734,0.8489,0.87075,7
"449",0.6472,0.91837,0.91933,5
"450",0.63477,0.89772,0.91097,8
"451",0.55983,0.73246,0.73883,8
"452",0.45031,0.72478,0.79557,8
"453",0.70623,0.94167,0.94954,10
"454",0.69279,0.95675,1,10
"455",0.68927,0.9526,1,9
"456",0.38214,0.81857,0.82786,8
"457",0.44107,0.84086,0.85013,8
"458",0.50443,0.95274,1,1
"459",0.57589,0.88395,0.91957,5
"460",0.58136,0.83302,0.85745,10
"461",0.46845,0.68334,0.68823,6
"462",0.44618,0.87739,0.89706,9
"463",0.41116,0.69195,0.69227,3
"464",0.66034,0.86286,0.9217,9
"465",0.55191,0.92086,0.93176,10
"466",0.4499,0.6799,0.68544,4
"467",0.27388,0.69001,0.69804,5
"468",0.4697,0.82983,0.84264,10
"469",0.65979,0.9373,0.94512,6
"470",0.49984,0.91875,0.93602,7
"471",0.50817,0.81641,0.83674,10
"472",0.41157,0.73555,0.73913,3
"473",0.43768,0.88676,0.89774,8
"474",0.55961,0.838,0.8542,5
"475",0.60021,0.80057,0.81393,7
"476",0.4841,0.87318,0.88908,6
"477",0.52243,0.71623,0.76789,6
"478",0.67547,0.88143,0.89482,7
"479",0.66643,0.96074,1,10
"480",0.60824,0.83442,0.85034,9
"481",0.42099,0.77718,0.79133,6
"482",0.45072,0.95219,0.96285,1
"483",0.32712,0.7877,0.79819,6
"484",0.58297,0.80415,0.83349,7
"485",0.76052,0.95867,1,10
"486",0.6458,0.90862,0.91433,10
"487",0.649,0.85157,0.87452,9
"488",0.43156,0.82614,0.83103,5
"489",0.46036,0.77336,0.82775,7
"490",0.47427,0.69807,0.84761,5
"491",0.52344,0.85578,0.85693,5
"492",0.53849,0.86731,0.90457,8
"493",0.39214,0.60114,0.60925,8
"494",0.6402,0.95178,1,10
"495",0.48364,0.9122,0.92878,5
"496",0.67449,0.96173,0.96216,6
"497",0.58177,0.78814,0.8036,10
"498",0.69088,0.92233,0.9444,10
"499",0.64463,0.86417,0.87523,4
"500",0.68695,0.91375,0.92684,9
"501",0.48413,0.70298,0.71913,8
"502",0.64905,0.87286,0.92389,9
"503",0.33464,0.58696,0.6089,9
"504",0.6366,0.89946,0.9167,7
"505",0.43143,0.8392,0.83996,5
"506",0.61887,0.88548,0.89149,9
"507",0.39638,0.90168,0.90744,8
"508",0.70367,0.94135,0.94135,7
"509",0.73295,0.93438,1,8
"510",0.31781,0.93342,0.93886,3
"511",0.7556,0.95006,1,10
"512",0.49077,0.76937,0.77707,9
"513",0.49852,0.91181,0.92072,9
"514",0.44107,0.70113,0.70842,8
"515",0.64938,0.87835,0.88796,10
"516",0.48476,0.72976,0.73224,8
"517",0.6458,0.87433,0.88384,10
"518",0.42137,0.58554,0.5951,5
"519",0.70886,0.93539,0.9393,4
"520",0.45913,0.68085,0.6879,10
"521",0.72793,0.94777,1,6
"522",0.44675,0.76421,0.77292,5
"523",0.7403,0.95828,0.96009,3
"524",0.58923,0.87586,0.88258,9
"525",0.43747,0.95184,1,7
"526",0.40556,0.87261,0.90643,6
"527",0.59988,0.81223,0.83207,8
"528",0.62925,0.83972,0.84188,6
"529",0.49781,0.70681,0.71129,5
"530",0.46192,0.79311,0.79625,6
"531",0.58032,0.79254,0.80387,10
"532",0.68719,0.95962,1,10
"533",0.32925,0.89504,0.90277,9
"534",0.63474,0.83608,0.84269,10
"535",0.41597,0.7688,0.778,7
"536",0.40843,0.83357,0.84127,9
"537",0.75328,0.95929,0.96252,10
"538",0.41654,0.85961,0.88329,8
"539",0.46533,0.68252,0.69058,5
"540",0.53519,0.76953,0.79652,8
"541",0.35499,0.85753,0.87149,10
"542",0.47151,0.86004,0.86023,4
"543",0.58272,0.84819,0.85696,4
"544",0.6187,0.87873,0.8872,9
"545",0.48476,0.89575,0.91949,8
"546",0.48574,0.6696,0.67239,9
"547",0.48932,0.70304,0.7055,8
"548",0.53683,0.95006,1,8
"549",0.57286,0.944,1,4
"550",0.71656,0.93856,1,6
"551",0.58611,0.80876,0.80882,10
"552",0.51699,0.76844,0.79453,1
"553",0.38897,0.89518,0.90804,7
"554",0.64559,0.85253,0.87351,9
"555",0.46233,0.75713,0.76568,5
"556",0.30715,0.90799,0.91714,1
"557",0.51931,0.95178,1,9
"558",0.5448,0.82767,0.83169,7
"559",0.64646,0.88848,0.89785,9
"560",0.47167,0.86078,0.86157,6
"561",0.68809,0.88676,0.90435,5
"562",0.34491,0.81371,0.82368,7
"563",0.429,0.77986,0.79931,9
"564",0.68471,0.94457,1,4
"565",0.64613,0.9491,0.95744,8
"566",0.7117,0.95184,1,4
"567",0.74331,0.93744,0.95063,10
"568",0.42449,0.89537,0.91646,10
"569",0.51448,0.91643,0.92788,6
"570",0.57368,0.83652,0.91979,2
"571",0.34698,0.88236,0.89755,8
"572",0.57658,0.83439,0.84007,10
"573",0.72421,0.94476,1,10
"574",0.61094,0.86253,0.87029,8
"575",0.39638,0.80956,0.82535,8
"576",0.67386,0.94681,1,5
"577",0.64616,0.83953,0.85329,10
"578",0.54453,0.9055,0.91796,5
"579",0.57144,0.86884,0.87463,9
"580",0.69593,0.94055,0.94148,7
"581",0.52117,0.85463,0.87608,10
"582",0.64938,0.81923,0.83237,10
"583",0.47164,0.70285,0.70629,2
"584",0.40542,0.69517,0.70268,6
"585",0.63859,0.89269,0.89351,7
"586",0.65471,0.88602,0.88985,8
"587",0.69473,0.92195,0.93714,8
"588",0.64365,0.90209,0.91187,9
"589",0.36586,0.72689,0.7441,5
"590",0.40853,0.86094,0.86652,9
"591",0.39397,0.73017,0.73301,10
"592",0.40425,0.65507,0.6843,8
"593",0.60742,0.88427,0.89236,10
"594",0.4069,0.88925,0.9084,7
"595",0.73609,0.94643,1,10
"596",0.48118,0.67342,0.68146,10
"597",0.5604,0.94585,0.95845,10
"598",0.74902,0.96293,1,10
"599",0.45255,0.95484,0.96257,2
"600",0.48855,0.83838,0.8419,9
"601",0.58679,0.83529,0.88682,7
"602",0.68596,0.93943,0.94574,6
"603",0.54652,0.79554,0.79642,5
"604",0.75656,0.94878,1,7
"605",0.62867,0.95714,1,9
"606",0.40933,0.71041,0.71293,6
"607",0.45233,0.78068,0.79281,8
"608",0.42162,0.61526,0.66301,6
"609",0.66061,0.94244,0.95074,9
"610",0.47443,0.91714,0.9214,6
"611",0.74858,0.95924,1,9
"612",0.42031,0.86458,0.88837,7
"613",0.58988,0.83513,1,9
"614",0.51609,0.68758,0.69309,7
"615",0.66252,0.91162,0.92717,10
"616",0.35655,0.84379,0.85037,8
"617",0.32925,0.82499,0.83373,9
"618",0.72678,0.91602,0.93211,10
"619",0.43219,0.81417,0.87124,6
"620",0.32879,0.87821,0.89299,9
"621",0.54655,0.7594,0.76989,6
"622",0.68673,0.93826,1,9
"623",0.725,0.96197,1,4
"624",0.44334,0.65501,0.65736,10
"625",0.50459,0.76003,0.77027,6
"626",0.37242,0.68845,0.6902,7
"627",0.40821,0.83209,0.83209,8
"628",0.54103,0.83283,0.83901,9
"629",0.6687,0.8654,0.87313,7
"630",0.36283,0.67583,0.67968,5
"631",0.48413,0.77227,0.80579,8
"632",0.55486,0.95662,1,9
"633",0.6266,0.87146,0.88072,10
"634",0.3572,0.65285,0.66108,8
"635",0.45495,0.64982,0.68889,3
"636",0.38313,0.85944,0.869,4
"637",0.73683,0.94285,0.95806,7
"638",0.58032,0.76016,0.79661,9
"639",0.59966,0.78472,0.82324,8
"640",0.48604,0.70189,0.70815,6
"641",0.6057,0.88242,0.88649,6
"642",0.70856,0.90384,0.92575,8
"643",0.3637,0.77986,0.84081,8
"644",0.63758,0.94266,0.94973,6
"645",0.67531,0.88012,0.90908,9
"646",0.39974,0.66613,0.67528,6
"647",0.61764,0.944,0.95391,3
"648",0.47448,0.82046,0.83485,9
"649",0.64769,0.89425,0.93192,9
"650",0.34644,0.80281,0.84756,7
"651",0.33078,0.90187,0.92255,4
"652",0.44839,0.67209,0.67509,8
"653",0.36338,0.57655,0.58502,9
"654",0.40952,0.9069,0.91851,8
"655",0.417,0.86119,0.86777,9
"656",0.6687,0.8902,0.90228,7
"657",0.44435,0.63933,0.64731,8
"658",0.44326,0.70949,0.71637,4
"659",0.66296,0.86919,0.8693,10
"660",0.61116,0.83647,0.84961,10
"661",0.67711,0.90818,1,8
"662",0.39974,0.67793,0.67993,6
"663",0.47681,0.87706,0.88436,8
"664",0.61313,0.81663,0.82346,8
"665",0.58994,0.82251,0.84595,9
"666",0.59983,0.87436,0.87477,9
"667",0.54248,0.93845,0.95282,2
"668",0.64422,0.89518,0.89985,5
"669",0.57906,0.82059,0.86094,9
"670",0.4903,0.81008,0.81223,9
"671",0.48339,0.89294,0.89318,7
"672",0.39414,0.7041,0.70869,7
"673",0.54874,0.84761,0.86777,4
"674",0.60933,0.81584,0.88692,6
"675",0.37693,0.77584,0.78541,6
"676",0.40031,0.68028,0.6837,7
"677",0.47659,0.83207,0.83226,9
"678",0.54696,0.72137,0.72959,3
"679",0.40031,0.83248,0.83272,7
"680",0.50953,0.94686,0.94927,7
"681",0.59698,0.86955,0.89184,10
"682",0.60758,0.92124,0.92815,9
"683",0.47197,0.73803,0.76276,7
"684",0.50699,0.93364,0.94408,6
"685",0.52243,0.77218,0.77822,6
"686",0.57144,0.96192,1,9
"687",0.54652,0.72637,0.72831,5
"688",0.69247,0.90741,0.9102,5
"689",0.72257,0.92315,0.93364,10
"690",0.48339,0.88294,0.88979,7
"691",0.61078,0.95563,1,9
"692",0.65979,0.91506,0.93514,9
"693",0.29868,0.6873,0.71869,6
"694",0.46817,0.74355,0.76751,6
"695",0.71588,0.95719,1,10
"696",0.48932,0.90875,0.91706,8
"697",0.57453,0.75825,0.81289,6
"698",0.48844,0.83289,0.84884,8
"699",0.38856,0.72,0.72918,7
"700",0.59783,0.94241,0.94973,6
"701",0.44618,0.90976,0.92632,9
"702",0.62001,0.94471,1,8
"703",0.66974,0.89294,0.90023,6
"704",0.76322,0.96293,1,7
"705",0.39799,0.83436,0.89258,5
"706",0.4823,0.94738,0.95317,6
"707",0.54398,0.90496,0.93094,4
"708",0.43099,0.69897,0.70689,7
"709",0.60644,0.86515,0.87373,10
"710",0.60075,0.84125,0.85004,8
"711",0.52647,0.85644,0.86725,10
"712",0.62925,0.95599,1,6
