"","custody_status","marital_status","screening_date","rec_supervision_level","rec_supervision_level_text","score_text","raw_score","decile_score","person_id"
"60","Pretrial Defendant","Single",0.93659,4,"High","High",-1.16,8,56
"61","Jail Inmate","Single",0.93176,1,"Low","Low",-3.6,1,57
"62","Jail Inmate","Significant Other",0.93301,1,"Low","Low",-3.41,1,58
"63","Jail Inmate","Married",0.94274,1,"Low","Low",-2.78,2,59
"64","Jail Inmate","Single",0.93656,2,"Medium","Medium",-1.35,7,60
"65","Jail Inmate","Separated",0.93137,1,"Low","Low",-2.82,2,61
"66","Jail Inmate","Single",0.94714,2,"Medium","Low",-1.98,4,62
"67","Jail Inmate","Married",0.94626,4,"High","High",-0.31,10,63
"68","Jail Inmate","Single",0.94181,2,"Medium","Low",-2.8,2,64
"69","Jail Inmate","Single",0.9435,2,"Medium","Low",-2.8,2,64
"70","Jail Inmate","Single",0.94476,1,"Low","Low",-2.9,2,65
"71","Jail Inmate","Single",0.94249,4,"High","High",-0.77,9,66
"72","Jail Inmate","Significant Other",0.94391,3,"Medium with Override Consideration","Low",-2.54,3,67
"73","Jail Inmate","Married",0.93599,1,"Low","Low",-3.94,1,68
"74","Pretrial Defendant","Single",0.94995,1,"Low","Low",-2.64,2,69
"75","Jail Inmate","Significant Other",0.93326,1,"Low","Low",-2.41,3,70
"76","Pretrial Defendant","Single",0.93435,1,"Low","Low",-2.86,2,71
"77","Jail Inmate","Single",0.93894,1,"Low","Low",-2.71,2,72
"78","Jail Inmate","Single",0.94771,1,"Low","Low",-3.21,1,73
"79","Jail Inmate","Single",0.94432,1,"Low","Low",-2.35,3,74
"80","Jail Inmate","Single",0.93348,2,"Medium","Low",-2.13,4,75
"81","Jail Inmate","Single",0.94823,4,"High","High",-0.45,10,76
"82","Pretrial Defendant","Widowed",0.94072,1,"Low","Low",-4.23,1,77
"83","Jail Inmate","Single",0.9485,2,"Medium","Low",-2.21,4,78
"84","Jail Inmate","Single",0.93225,2,"Medium","Medium",-1.45,7,79
"85","Jail Inmate","Single",0.93727,1,"Low","Low",-2.04,4,80
"86","Jail Inmate","Single",0.94864,1,"Low","Low",-2.51,3,81
"87","Jail Inmate","Single",0.94588,3,"Medium with Override Consideration","Low",-2.71,2,82
"88","Jail Inmate","Single",0.93069,2,"Medium","Low",-2.36,3,83
"89","Jail Inmate","Married",0.93667,1,"Low","Low",-3.38,1,84
"90","Jail Inmate","Single",0.93419,1,"Low","Low",-2.93,2,85
"91","Pretrial Defendant","Single",0.94932,1,"Low","Low",-3.18,1,86
"92","Jail Inmate","Significant Other",0.93129,1,"Low","Low",-2.94,2,87
"93","Pretrial Defendant","Single",0.93454,2,"Medium","Medium",-1.91,5,88
"94","Jail Inmate","Married",0.94296,1,"Low","Low",-3.25,1,89
"95","Jail Inmate","Single",0.94673,4,"High","High",-0.9,9,90
"96","Jail Inmate","Single",0.9311,1,"Low","Low",-2.7,2,91
"97","Jail Inmate","Married",0.93233,2,"Medium","Low",-2.41,3,92
"98","Jail Inmate","Single",0.93889,2,"Medium","Medium",-1.61,6,93
"99","Jail Inmate","Married",0.94588,1,"Low","Low",-3.31,1,94
"100","Pretrial Defendant","Single",0.93214,4,"High","High",-0.65,9,95
"101","Jail Inmate","Single",0.93085,3,"Medium with Override Consideration","Medium",-1.8,5,96
"102","Jail Inmate","Single",0.93662,3,"Medium with Override Consideration","Medium",-1.55,6,96
"103","Jail Inmate","Single",0.93036,1,"Low","Low",-3.88,1,97
"104","Jail Inmate","Single",0.94339,2,"Medium","Low",-2.32,3,98
"105","Jail Inmate","Single",0.94869,1,"Low","Low",-2.04,4,98
"106","Jail Inmate","Single",0.94197,1,"Low","Low",-3.24,1,99
"107","Jail Inmate","Divorced",0.93755,1,"Low","Low",-4.15,1,100
"108","Jail Inmate","Single",0.9305,1,"Low","Low",-3.55,1,101
"109","Jail Inmate","Single",0.94102,1,"Low","Low",-3.62,1,101
"110","Jail Inmate","Single",0.93411,2,"Medium","Medium",-1.59,6,102
"111","Jail Inmate","Single",0.94864,1,"Low","Low",-2.62,2,103
"112","Jail Inmate","Married",0.93039,1,"Low","Low",-2.03,4,104
"113","Jail Inmate","Single",0.93195,1,"Low","Low",-2.87,2,105
"114","Jail Inmate","Single",0.94733,2,"Medium","Low",-2.03,4,106
"115","Jail Inmate","Single",0.93034,2,"Medium","Low",-2.36,3,107
"116","Jail Inmate","Single",0.93727,2,"Medium","Low",-2.48,3,107
"117","Jail Inmate","Single",0.94932,2,"Medium","Low",-2.31,3,108
"118","Pretrial Defendant","Married",0.94629,1,"Low","Low",-2.98,1,109
"119","Jail Inmate","Single",0.94837,1,"Low","Low",-2.61,2,110
"120","Pretrial Defendant","Single",0.93555,1,"Low","Low",-3.27,1,111
"121","Pretrial Defendant","Single",0.94184,1,"Low","Low",-3.66,1,112
"122","Jail Inmate","Single",0.93662,1,"Low","Low",-2.38,3,113
"123","Jail Inmate","Single",0.93151,3,"Medium with Override Consideration","Medium",-1.56,6,114
"124","Jail Inmate","Single",0.93867,1,"Low","Low",-2.32,3,115
"125","Pretrial Defendant","Single",0.94563,3,"Medium with Override Consideration","High",-1.2,8,116
"126","Pretrial Defendant","Single",0.94648,3,"Medium with Override Consideration","High",-1.2,8,116
"127","Pretrial Defendant","Single",0.94279,1,"Low","Low",-4.2,1,117
"128","Pretrial Defendant","Married",0.94298,1,"Low","Low",-2.47,3,118
"129","Jail Inmate","Significant Other",0.93187,1,"Low","Low",-3.05,1,119
"130","Jail Inmate","Single",0.93176,1,"Low","Low",-2.81,2,120
"131","Jail Inmate","Married",0.94328,1,"Low","Low",-4.05,1,121
"132","Jail Inmate","Single",0.93156,4,"High","High",-0.74,9,122
"133","Jail Inmate","Single",0.93309,4,"High","High",-0.56,10,122
"134","Jail Inmate","Single",0.94812,4,"High","High",-0.8,9,122
"135","Jail Inmate","Single",0.94804,3,"Medium with Override Consideration","Low",-2.52,3,123
"136","Jail Inmate","Married",0.94553,1,"Low","Low",-3.24,1,124
"137","Pretrial Defendant","Divorced",0.93676,2,"Medium","Medium",-1.79,5,125
"138","Pretrial Defendant","Single",0.9449,2,"Medium","Medium",-1.78,5,126
"139","Jail Inmate","Married",0.9461,1,"Low","Low",-2.84,2,127
"140","Jail Inmate","Single",0.93315,4,"High","High",-0.25,10,128
"141","Jail Inmate","Married",0.94867,1,"Low","Low",-3.83,1,129
"142","Jail Inmate","Single",0.93768,3,"Medium with Override Consideration","High",-1.21,8,130
"143","Jail Inmate","Single",0.94055,4,"High","High",-0.57,10,131
"144","Jail Inmate","Single",0.94219,3,"Medium with Override Consideration","High",-1.25,8,132
"145","Jail Inmate","Single",0.9461,2,"Medium","Medium",-1.74,5,133
"146","Jail Inmate","Divorced",0.94244,1,"Low","Low",-1.99,4,134
"147","Pretrial Defendant","Single",0.9467,2,"Medium","Medium",-1.54,6,135
"148","Jail Inmate","Single",0.93258,1,"Low","Low",-2.95,1,136
"149","Jail Inmate","Single",0.94337,2,"Medium","Medium",-1.54,6,137
"150","Jail Inmate","Single",0.93047,3,"Medium with Override Consideration","Low",-2.15,4,138
"151","Jail Inmate","Single",0.93315,2,"Medium","Medium",-1.5,6,139
"152","Jail Inmate","Single",0.9385,1,"Low","Low",-2.28,3,140
"153","Jail Inmate","Single",0.94968,1,"Low","Low",-1.98,4,141
"154","Jail Inmate","Single",0.9496,4,"High","High",-0.91,9,142
"155","Pretrial Defendant","Single",0.93025,2,"Medium","Low",-2.51,3,143
"156","Pretrial Defendant","Single",0.94935,1,"Low","Low",-2.89,2,144
"157","Jail Inmate","Single",0.93883,3,"Medium with Override Consideration","High",-1.22,8,145
"158","Pretrial Defendant","Single",0.93135,1,"Low","Low",-3.23,1,146
"159","Pretrial Defendant","Single",0.93861,1,"Low","Low",-3.95,1,147
"160","Jail Inmate","Divorced",0.93301,1,"Low","Low",-4.03,1,148
"161","Jail Inmate","Single",0.93293,1,"Low","Medium",-1.88,5,149
"162","Pretrial Defendant","Married",0.93648,1,"Low","Low",-3.71,1,150
"163","Pretrial Defendant","Single",0.9488,2,"Medium","Medium",-1.45,7,151
"164","Pretrial Defendant","Single",0.94173,1,"Low","Low",-2.25,3,152
"165","Jail Inmate","Single",0.93703,1,"Low","Low",-2.64,2,153
"166","Jail Inmate","Married",0.93692,1,"Low","Low",-3.41,1,154
"167","Jail Inmate","Single",0.9491,1,"Low","Low",-3.03,1,155
"168","Jail Inmate","Single",0.9329,2,"Medium","Medium",-1.52,6,156
"169","Jail Inmate","Single",0.93673,1,"Low","Low",-2.58,2,157
"170","Jail Inmate","Single",0.94154,1,"Low","Low",-2.68,2,158
"171","Jail Inmate","Single",0.9317,1,"Low","Low",-2.28,3,159
"172","Pretrial Defendant","Single",0.94935,3,"Medium with Override Consideration","Low",-2.18,4,160
"173","Jail Inmate","Single",0.94361,2,"Medium","Low",-2.4,3,161
"174","Jail Inmate","Married",0.94438,1,"Low","Low",-2.21,4,162
"175","Pretrial Defendant","Single",0.93635,1,"Low","Low",-3.34,1,163
"176","Jail Inmate","Single",0.94801,3,"Medium with Override Consideration","Medium",-1.68,6,164
"177","Jail Inmate","Single",0.9473,1,"Low","Low",-2.05,4,165
"178","Jail Inmate","Single",0.93181,3,"Medium with Override Consideration","Medium",-1.56,6,166
"179","Jail Inmate","Single",0.93247,4,"High","High",-1.03,8,166
"180","Jail Inmate","Single",0.9444,2,"Medium","Low",-2.46,3,167
"181","Jail Inmate","Single",0.94779,3,"Medium with Override Consideration","Medium",-1.54,6,168
"182","Jail Inmate","Married",0.93058,1,"Low","Low",-2.4,3,169
"183","Jail Inmate","Single",0.93167,3,"Medium with Override Consideration","Low",-2.06,4,170
"184","Jail Inmate","Single",0.9314,1,"Low","Medium",-1.9,5,171
"185","Jail Inmate","Single",0.95003,1,"Low","Low",-2.31,3,172
"186","Jail Inmate","Significant Other",0.93891,1,"Low","Low",-2.63,2,173
"187","Jail Inmate","Separated",0.93894,1,"Low","Low",-3.3,1,174
"188","Pretrial Defendant","Significant Other",0.93219,1,"Low","Low",-2.85,2,175
"189","Jail Inmate","Married",0.93228,1,"Low","Low",-2.7,2,175
"190","Jail Inmate","Single",0.93695,3,"Medium with Override Consideration","Medium",-1.36,7,176
"191","Jail Inmate","Single",0.9388,2,"Medium","Medium",-1.49,7,177
"192","Jail Inmate","Divorced",0.94042,3,"Medium with Override Consideration","Medium",-1.88,5,178
"193","Pretrial Defendant","Single",0.9485,1,"Low","Low",-3.43,1,179
"194","Jail Inmate","Single",0.93798,3,"Medium with Override Consideration","High",-1.2,8,180
"195","Pretrial Defendant","Single",0.94151,3,"Medium with Override Consideration","Medium",-1.32,7,181
"196","Jail Inmate","Single",0.93839,1,"Low","Low",-2.85,2,182
"197","Jail Inmate","Single",0.9317,3,"Medium with Override Consideration","Medium",-1.45,7,183
"198","Jail Inmate","Single",0.94883,3,"Medium with Override Consideration","Low",-2.12,4,184
"199","Jail Inmate","Single",0.94705,1,"Low","Low",-2.77,2,185
"200","Jail Inmate","Single",0.9444,1,"Low","Low",-3.38,1,186
"201","Pretrial Defendant","Single",0.93943,3,"Medium with Override Consideration","Low",-2.4,3,187
"202","Pretrial Defendant","Single",0.94755,4,"High","High",-1.21,8,188
"203","Pretrial Defendant","Single",0.93588,3,"Medium with Override Consideration","Medium",-1.73,6,189
"204","Jail Inmate","Single",0.94006,3,"Medium with Override Consideration","Medium",-1.44,7,190
"205","Jail Inmate","Single",0.94563,1,"Low","Low",-3.1,1,191
"206","Pretrial Defendant","Married",0.94257,1,"Low","Low",-4.36,1,192
"207","Pretrial Defendant","Single",0.94624,3,"Medium with Override Consideration","High",-1.22,8,193
"208","Pretrial Defendant","Single",0.93725,1,"Low","Low",-3.39,1,194
"209","Jail Inmate","Single",0.9399,1,"Low","Medium",-1.83,5,195
"210","Jail Inmate","Single",0.94419,1,"Low","Low",-2.62,2,196
"211","Pretrial Defendant","Single",0.93897,1,"Low","Low",-2.7,2,197
"212","Jail Inmate","Single",0.94143,1,"Low","Low",-2.24,3,198
"213","Pretrial Defendant","Single",0.93673,1,"Low","Low",-2.7,2,199
"214","Jail Inmate","Married",0.94009,1,"Low","Low",-3.35,1,200
"215","Jail Inmate","Single",0.94525,2,"Medium","Medium",-1.67,6,201
"216","Jail Inmate","Single",0.94976,1,"Low","Low",-2.5,3,202
"217","Jail Inmate","Single",0.94115,1,"Low","Low",-2.49,3,203
"218","Pretrial Defendant","Single",0.94225,3,"Medium with Override Consideration","Medium",-1.49,7,204
"219","Jail Inmate","Single",0.9382,4,"High","High",-1,8,205
"220","Jail Inmate","Single",0.94894,1,"Low","Low",-2.66,2,206
"221","Jail Inmate","Single",0.94328,1,"Low","Low",-2.31,3,207
"222","Jail Inmate","Married",0.94085,1,"Low","Low",-2.95,1,208
"223","Pretrial Defendant","Single",0.94268,1,"Low","Medium",-1.91,5,209
"224","Jail Inmate","Single",0.9302,2,"Medium","Low",-2.51,3,210
"225","Jail Inmate","Married",0.94408,1,"Low","Low",-3.51,1,211
"226","Jail Inmate","Married",0.94921,1,"Low","Low",-3.32,1,212
"227","Pretrial Defendant","Single",0.93692,1,"Low","Low",-2.54,3,213
"228","Pretrial Defendant","Single",0.93594,4,"High","High",-0.38,10,214
"229","Jail Inmate","Married",0.93061,1,"Low","Low",-2.29,3,215
"230","Pretrial Defendant","Single",0.93266,1,"Low","Low",-3.38,1,216
"231","Pretrial Defendant","Single",0.9449,1,"Low","Low",-3.4,1,216
"232","Jail Inmate","Single",0.94173,4,"High","High",-1.04,8,217
"233","Pretrial Defendant","Single",0.93326,1,"Low","Low",-2.48,3,218
"234","Jail Inmate","Single",0.94869,1,"Low","Low",-2.3,3,219
"235","Jail Inmate","Single",0.939,4,"High","High",-0.61,10,220
"236","Pretrial Defendant","Significant Other",0.94583,1,"Low","Low",-3.63,1,221
"237","Jail Inmate","Married",0.93381,1,"Low","Low",-3.71,1,222
"238","Jail Inmate","Single",0.94309,3,"Medium with Override Consideration","Low",-1.98,4,223
"239","Pretrial Defendant","Single",0.94976,2,"Medium","Medium",-1.86,5,224
"240","Jail Inmate","Single",0.93998,1,"Low","Low",-2.65,2,225
"241","Jail Inmate","Single",0.94752,3,"Medium with Override Consideration","Low",-2.34,3,226
"242","Jail Inmate","Single",0.9482,1,"Low","Low",-2.93,2,227
"243","Jail Inmate","Single",0.93044,4,"High","High",-0.83,9,228
"244","Jail Inmate","Single",0.93798,4,"High","High",-0.83,9,228
"245","Jail Inmate","Single",0.93304,4,"High","High",-1.03,8,229
"246","Jail Inmate","Married",0.9485,1,"Low","Low",-3.99,1,230
"247","Jail Inmate","Single",0.93946,3,"Medium with Override Consideration","High",-1.25,8,231
"248","Pretrial Defendant","Single",0.94085,2,"Medium","Low",-2.46,3,232
"249","Jail Inmate","Single",0.94626,4,"High","High",-0.31,10,233
"250","Jail Inmate","Significant Other",0.93334,1,"Low","Low",-3.76,1,234
"251","Jail Inmate","Married",0.93383,2,"Medium","Medium",-1.73,6,235
"252","Pretrial Defendant","Single",0.9411,1,"Low","Low",-3.8,1,236
"253","Jail Inmate","Single",0.93228,1,"Low","Low",-3.24,1,237
"254","Pretrial Defendant","Single",0.9432,4,"High","High",-0.65,9,238
"255","Jail Inmate","Single",0.93695,1,"Low","Low",-1.99,4,239
"256","Pretrial Defendant","Married",0.93042,1,"Low","Low",-3.46,1,240
"257","Jail Inmate","Single",0.93203,1,"Low","Low",-2.17,4,241
"258","Pretrial Defendant","Single",0.93501,1,"Low","Low",-3.99,1,242
"259","Jail Inmate","Single",0.94126,1,"Low","Low",-2.11,4,243
"260","Jail Inmate","Single",0.93348,2,"Medium","Low",-2.06,4,244
"261","Jail Inmate","Single",0.93181,3,"Medium with Override Consideration","High",-1.19,8,245
"262","Jail Inmate","Single",0.93749,1,"Low","Low",-3.29,1,246
"263","Jail Inmate","Married",0.95006,1,"Low","Low",-3.23,1,247
"264","Jail Inmate","Single",0.93386,1,"Low","Low",-2.07,4,248
"265","Pretrial Defendant","Single",0.93129,1,"Low","Low",-3.08,1,249
"266","Jail Inmate","Single",0.94637,3,"Medium with Override Consideration","Low",-1.98,4,250
"267","Pretrial Defendant","Married",0.94225,2,"Medium","Low",-2.89,2,251
"268","Jail Inmate","Single",0.93315,1,"Low","Low",-2.07,4,252
"269","Jail Inmate","Single",0.94424,1,"Low","Low",-2.89,2,253
"270","Jail Inmate","Single",0.93725,1,"Low","Low",-2.28,3,254
"271","Jail Inmate","Single",0.94451,1,"Low","Low",-2.61,2,255
"272","Pretrial Defendant","Single",0.94268,2,"Medium","Medium",-1.55,6,256
"273","Pretrial Defendant","Single",0.93703,1,"Low","Medium",-1.74,5,257
"274","Jail Inmate","Single",0.93148,2,"Medium","Low",-2.5,3,258
"275","Jail Inmate","Married",0.93189,1,"Low","Low",-3.98,1,259
"276","Jail Inmate","Single",0.93113,1,"Low","Low",-3.07,1,260
"277","Jail Inmate","Single",0.94282,2,"Medium","Low",-1.99,4,261
"278","Pretrial Defendant","Single",0.9332,3,"Medium with Override Consideration","Low",-2.22,4,262
"279","Jail Inmate","Single",0.93706,1,"Low","Low",-3.37,1,263
"280","Pretrial Defendant","Single",0.93577,3,"Medium with Override Consideration","Medium",-1.32,7,264
"281","Jail Inmate","Divorced",0.93225,2,"Medium","Medium",-1.53,6,265
"282","Jail Inmate","Single",0.93673,1,"Low","Low",-3.6,1,266
"283","Pretrial Defendant","Single",0.93214,1,"Low","Low",-3.28,1,267
"284","Jail Inmate","Married",0.9473,1,"Low","Low",-4.32,1,268
"285","Jail Inmate","Divorced",0.94181,1,"Low","Low",-3.69,1,269
"286","Jail Inmate","Single",0.94498,4,"High","High",-1.21,8,270
"287","Jail Inmate","Married",0.9405,1,"Low","Low",-2.21,4,271
"288","Pretrial Defendant","Single",0.947,3,"Medium with Override Consideration","Medium",-1.97,5,272
"289","Jail Inmate","Single",0.94858,1,"Low","Low",-2.98,1,273
"290","Jail Inmate","Married",0.94337,1,"Low","Low",-3.15,1,274
"291","Pretrial Defendant","Single",0.94323,1,"Low","Medium",-1.75,5,275
"292","Jail Inmate","Single",0.93135,2,"Medium","Medium",-1.56,6,276
"293","Jail Inmate","Single",0.93107,3,"Medium with Override Consideration","Low",-3.2,1,277
"294","Jail Inmate","Single",0.94023,2,"Medium","Low",-3.23,1,277
"295","Jail Inmate","Single",0.94028,1,"Low","Low",-2.16,4,278
"296","Jail Inmate","Divorced",0.93829,1,"Low","Low",-3.93,1,279
"297","Pretrial Defendant","Single",0.93536,1,"Low","Low",-2.8,2,280
"298","Pretrial Defendant","Married",0.93457,1,"Low","Low",-2.98,1,281
"299","Jail Inmate","Divorced",0.94143,1,"Low","Low",-2.31,3,282
"300","Jail Inmate","Divorced",0.94143,1,"Low","Low",-2.23,4,282
"301","Pretrial Defendant","Single",0.9464,1,"Low","Low",-2.6,2,283
"302","Pretrial Defendant","Married",0.9449,1,"Low","Low",-3.75,1,284
"303","Jail Inmate","Married",0.93569,1,"Low","Low",-3.46,1,285
"304","Jail Inmate","Single",0.9367,3,"Medium with Override Consideration","Medium",-1.48,7,286
"305","Jail Inmate","Single",0.93992,4,"High","High",-1.09,8,287
"306","Jail Inmate","Single",0.94782,4,"High","High",-1.13,8,287
"307","Jail Inmate","Single",0.94178,1,"Low","Low",-1.98,4,288
"308","Jail Inmate","Single",0.9488,4,"High","High",-1.25,8,289
"309","Jail Inmate","Single",0.94348,4,"High","High",-1.13,8,290
"310","Jail Inmate","Single",0.93102,1,"Low","Low",-2.13,4,291
"311","Jail Inmate","Married",0.94424,3,"Medium with Override Consideration","Low",-3.06,1,292
"312","Jail Inmate","Significant Other",0.94328,1,"Low","Low",-2.08,4,293
"313","Jail Inmate","Single",0.94096,1,"Low","Low",-2.98,1,294
"314","Jail Inmate","Single",0.94044,4,"High","High",-1.19,8,295
"315","Jail Inmate","Married",0.94115,1,"Low","Low",-2.23,4,296
"316","Jail Inmate","Single",0.93651,1,"Low","Low",-2.04,4,297
"317","Jail Inmate","Single",0.94088,1,"Low","Low",-3,1,298
"318","Jail Inmate","Single",0.93722,1,"Low","Low",-3.93,1,299
"319","Pretrial Defendant","Single",0.93867,1,"Low","Low",-3.39,1,300
"320","Jail Inmate","Separated",0.93031,1,"Low","Low",-2.2,4,301
"321","Jail Inmate","Single",0.94542,4,"High","High",-0.67,9,302
"322","Jail Inmate","Divorced",0.94815,1,"Low","Low",-3.1,1,303
"323","Jail Inmate","Significant Other",0.94779,1,"Low","Low",-2.09,4,304
"324","Pretrial Defendant","Married",0.93651,1,"Low","Low",-3.1,1,305
"325","Jail Inmate","Single",0.93309,4,"High","High",-1.14,8,306
"326","Jail Inmate","Single",0.94848,2,"Medium","Low",-2.77,2,307
"327","Jail Inmate","Single",0.93247,1,"Low","Low",-2.48,3,308
"328","Jail Inmate","Married",0.94637,1,"Low","Low",-2.83,2,309
"329","Jail Inmate","Single",0.93839,3,"Medium with Override Consideration","Medium",-1.53,6,310
"330","Pretrial Defendant","Widowed",0.93247,1,"Low","Low",-2.37,3,311
"331","Jail Inmate","Separated",0.93312,2,"Medium","Medium",-1.59,6,312
"332","Jail Inmate","Single",0.93788,3,"Medium with Override Consideration","Medium",-1.73,6,313
"333","Jail Inmate","Significant Other",0.94397,1,"Low","Low",-3.17,1,314
"334","Jail Inmate","Significant Other",0.9323,1,"Low","Low",-3.26,1,315
"335","Pretrial Defendant","Single",0.94167,1,"Low","Low",-2.36,3,316
"336","Jail Inmate","Single",0.9302,3,"Medium with Override Consideration","Medium",-1.38,7,317
"337","Jail Inmate","Single",0.93064,3,"Medium with Override Consideration","High",-1.2,8,318
"338","Jail Inmate","Single",0.93181,4,"High","High",-1.08,8,318
"339","Jail Inmate","Divorced",0.9323,1,"Low","Low",-4.11,1,319
"340","Jail Inmate","Separated",0.93151,3,"Medium with Override Consideration","Low",-2.41,3,320
"341","Jail Inmate","Single",0.93845,1,"Low","Low",-2.06,4,321
"342","Pretrial Defendant","Single",0.93042,2,"Medium","Low",-2.09,4,322
"343","Jail Inmate","Single",0.93025,1,"Low","Low",-2.52,3,323
"344","Jail Inmate","Single",0.94318,1,"Low","Low",-2.6,2,324
"345","Pretrial Defendant","Married",0.9323,1,"Low","Low",-4.3,1,325
"346","Jail Inmate","Single",0.94047,1,"Low","Low",-4.05,1,326
"347","Jail Inmate","Single",0.93845,1,"Low","Low",-2.9,2,327
"348","Jail Inmate","Single",0.94375,2,"Medium","Medium",-1.41,7,328
"349","Jail Inmate","Separated",0.93034,1,"Low","Low",-3.33,1,329
"350","Jail Inmate","Married",0.9305,1,"Low","Low",-3.83,1,330
"351","Pretrial Defendant","Married",0.93271,1,"Low","Low",-3.86,1,330
"352","Jail Inmate","Single",0.93307,1,"Low","Low",-2,4,331
"353","Jail Inmate","Single",0.93378,2,"Medium","Low",-2.06,4,332
"354","Jail Inmate","Single",0.93859,2,"Medium","Low",-2.25,3,333
"355","Jail Inmate","Single",0.93326,4,"High","High",-0.65,9,334
"356","Jail Inmate","Single",0.93146,1,"Low","Low",-3.29,1,335
"357","Jail Inmate","Single",0.94339,1,"Low","Low",-2.68,2,336
