"","id","sex","race","dob","juv_fel_count","juv_misd_count","juv_other_count","compas_screening_date","priors_count","days_b_screening_arrest","c_jail_in","c_jail_out","c_days_from_compas","c_offense_date","c_charge_degree","is_recid","num_r_cases","max_degree","min_degree","avg_degree","med_degree","charges_recid","charges_no_recid","charges_total","charge_latest","decile_recid","decile_violence","decile_fail_to_appear"
"21",22,"Male","African-American",0.70536,0,0,0,0.93987,3,-3e-05,0.93984,0.93987,0,0.93984,0.85,0,0,0.85,0,0.49444,0.6,2,7,9,0.96074,10,9,3
"22",23,"Male","Caucasian",0.65056,0,0,0,0.93891,6,-3e-05,0.93889,0.93891,0,0.93889,0.85,1,3,1,0,0.42941,0.575,7,27,34,0.94563,5,4,3
"23",24,"Male","Caucasian",0.65097,0,0,0,0.94883,5,-3e-05,0.9488,0.94883,0,0.9488,0.85,1,2,0.85,0,0.35,0.55,2,15,17,0.95328,3,2,1
"24",25,"Male","African-American",0.31636,0,0,0,0.94345,13,-3e-05,0.94342,0.94345,0,0.94342,0.85,1,1,1,0,0.6868,0.9,1,24,25,0.94348,6,3,7
"25",26,"Male","African-American",0.74964,0,0,0,0.93309,1,-3e-05,0.93307,0.93315,0,0.93307,0.85,1,1,0.85,0,0.51154,0.6,8,5,13,0.95186,9,9,6
"26",27,"Male","Caucasian",0.68665,0,0,0,0.94801,0,0,0.94801,0.94801,0,0.94801,0.6,1,1,0.6,0,0.12143,0,8,6,14,0.95864,2,3,1
"27",28,"Female","Caucasian",0.75273,0,0,0,0.93905,0,-5e-05,0.939,0.93902,0,0.939,0.85,0,0,0.85,0,0.41,0.6,0,5,5,0.939,4,5,1
"28",29,"Male","African-American",0.71719,0,0,0,0.94801,2,0,0.94801,0.94804,0,0.94801,0.85,1,2,0.85,0,0.59167,0.575,7,5,12,0.957,-1,6,4
"29",30,"Male","Hispanic",0.72121,0,0,0,0.93121,1,0,0.93121,0.93124,0,0.93118,0.85,1,1,0.85,0.6,0.8,0.85,1,4,5,0.94244,4,5,1
"30",31,"Male","Caucasian",0.53614,0,0,0,0.94932,1,-0.00361,0.94572,0.94858,0,0.94569,1,0,0,1,1,1,1,0,1,1,0.94569,3,1,3
"31",32,"Male","Caucasian",0.53128,0,0,0,0.93083,1,-3e-05,0.9308,0.93083,0,0.9308,0.55,0,0,0.85,0,0.10526,0,3,16,19,0.9585,1,2,2
"32",33,"Male","Other",0.63723,0,0,0,0.93372,0,-3e-05,0.9337,0.93375,0,0.9337,0.6,0,0,0.6,0.6,0.6,0.6,0,1,1,0.9337,3,4,2
"33",34,"Female","African-American",0.42252,0,0,0,0.93408,0,-3e-05,0.93405,0.93708,0,0.93405,0.85,0,0,0.85,0,0.17,0,0,5,5,0.93405,9,5,9
"34",35,"Male","African-American",0.52153,0,0,0,0.94648,8,0,0.94648,0.94648,0,0.82912,0.55,0,0,1,0,0.45385,0.6,0,26,26,0.94648,6,4,3
"35",37,"Male","African-American",0.69173,0,0,0,0.93359,8,-3e-05,0.93356,0.93402,0,0.93356,0.85,1,2,0.85,0,0.27931,0,16,42,58,0.95156,3,3,1
"36",38,"Female","Caucasian",0.59758,0,0,0,0.93225,3,0.00145,0.9337,0.93372,0,0.92965,0.85,0,0,0.9,0,0.29286,0,2,12,14,0.93266,3,1,6
"37",39,"Male","African-American",0.69386,0,0,1,0.93154,5,-3e-05,0.93151,0.93154,0,0.93151,0.85,1,2,0.85,0,0.44286,0.6,4,17,21,0.94577,7,7,1
"38",40,"Male","African-American",0.63171,0,0,0,0.94823,0,0,0.94823,0.94927,0,0.9482,0.85,1,3,0.9,0.6,0.82,0.85,3,2,5,0.95629,10,6,7
"39",41,"Male","Caucasian",0.65867,0,0,0,0.93091,9,0,0.93091,0.93211,0,0.93091,0.85,1,1,0.9,0,0.47885,0.6,8,18,26,0.95216,9,10,8
"40",42,"Male","African-American",0.64283,0,0,0,0.94883,4,-3e-05,0.9488,0.94883,0,0.9488,0.85,1,5,0.9,0,0.414,0.6,6,19,25,0.95552,8,3,3
"41",43,"Male","African-American",0.328,0,0,0,0.94943,0,-3e-05,0.9494,0.94946,0,0.9494,0.6,0,0,0.6,0.6,0.6,0.6,0,1,1,0.9494,1,1,1
"42",44,"Male","Hispanic",0.69074,0,0,0,0.94899,2,0,0.94899,0.94899,0,0.94897,0.85,0,0,0.85,0,0.20571,0,0,21,21,0.94897,3,3,1
"43",45,"Male","Caucasian",0.40698,0,0,0,0.94009,0,-3e-05,0.94006,0.94012,0,0.94006,0.85,0,0,0.85,0.85,0.85,0.85,0,1,1,0.94003,1,1,1
"44",47,"Male","African-American",0.63665,0,0,0,0.93722,15,0,0.93722,0.93973,0,0.93722,0.85,0,0,0.9,0,0.61579,0.6,0,19,19,0.93722,10,8,10
"45",48,"Male","African-American",0.5769,0,0,2,0.94042,5,-3e-05,0.94039,0.94492,0,0.94039,0.85,0,0,0.9,0,0.37222,0.55,0,18,18,0.94039,3,4,2
"46",49,"Male","Caucasian",0.42711,0,0,0,0.93069,19,-3e-05,0.93066,0.93083,0,0.93066,0.85,0,0,0.9,0,0.48179,0.55,0,84,84,0.93066,5,2,8
"47",50,"Male","Other",0.46683,0,0,0,0.93271,7,-3e-05,0.93268,0.93279,0,0.93271,0.85,1,1,0.85,0,0.3871,0.55,10,21,31,0.95957,3,2,3
"48",51,"Male","Caucasian",0.70178,0,0,2,0.93285,6,0.00221,0.93506,0.93539,0,0.92241,0.55,0,0,0.6,0,0.335,0.475,0,12,12,0.92241,8,8,2
"49",52,"Female","Caucasian",0.63168,0,0,0,0.93935,4,-3e-05,0.93932,0.93962,0,0.93932,0.6,1,1,0.85,0,0.425,0.55,2,12,14,0.95752,5,2,2
"50",53,"Male","Caucasian",0.71427,0,0,0,0.93719,1,0,0.93719,0.93722,0,0.93719,0.6,1,5,0.85,0,0.57826,0.6,19,4,23,0.94375,2,3,1
"51",54,"Male","African-American",0.61499,2,1,3,0.93044,21,0,0.93044,0.93135,0,0.93044,0.9,1,1,0.9,0,0.32742,0,4,89,93,0.95115,9,6,6
"52",55,"Male","Caucasian",0.67342,0,0,0,0.93058,0,0,0.93058,0.93058,0,0.93055,0.6,0,0,0.6,0.6,0.6,0.6,0,2,2,0.93055,2,2,1
"53",56,"Female","African-American",0.7468,0,0,0,0.93659,2,-3e-05,0.93656,0.93875,0,0.93656,0.9,0,0,0.9,0,0.21875,0,1,7,8,0.95476,8,8,4
"54",57,"Male","African-American",0.45017,0,0,0,0.93176,2,-3e-05,0.93173,0.93176,0,0.93173,0.6,0,0,0.6,0.4,0.50556,0.55,0,9,9,0.93173,1,1,1
"55",59,"Male","Caucasian",0.66558,0,0,0,0.94274,2,-3e-05,0.94271,0.94274,0,0.94271,0.6,1,1,0.9,0,0.17778,0,2,16,18,0.95189,2,2,3
"56",60,"Male","African-American",0.71285,0,0,0,0.93656,0,-3e-05,0.93654,0.94397,0,0.93654,0.9,0,0,0.9,0,0.28571,0,0,7,7,0.93654,6,7,1
"57",61,"Female","African-American",0.44981,0,0,0,0.93137,7,-3e-05,0.93135,0.9314,0,0.93135,0.85,0,0,0.85,0,0.33611,0.35,0,18,18,0.93135,2,2,2
"58",62,"Male","Caucasian",0.68192,0,0,0,0.94714,8,0,0.94714,0.94716,0,0.94714,0.85,0,0,0.85,0,0.56848,0.6,0,46,46,0.94714,7,4,2
"59",63,"Male","African-American",0.60075,0,0,0,0.94626,22,-3e-05,0.94624,0.95162,0,0.94624,0.6,0,0,0.9,0,0.46914,0.575,0,58,58,0.94624,9,10,10
"60",64,"Male","African-American",0.67239,0,0,0,0.94181,0,0,0.94181,0.94181,0,0.94181,0.85,1,1,0.85,0.6,0.68333,0.6,2,1,3,0.94684,7,2,3
"61",65,"Male","Other",0.67001,0,0,0,0.94476,0,-3e-05,0.94473,0.94479,0,0.94471,0.6,0,0,0.6,0.6,0.6,0.6,0,1,1,0.94471,1,2,1
"62",66,"Male","Caucasian",0.70468,0,0,0,0.94249,9,-3e-05,0.94247,0.94266,0,0.94247,0.6,1,1,0.9,0,0.5913,0.6,1,22,23,0.94271,10,9,3
"63",67,"Male","African-American",0.61135,1,0,4,0.94391,13,-3e-05,0.94389,0.94391,0,0.94389,0.85,1,1,0.85,0,0.36,0.4,5,40,45,0.95167,8,3,5
"64",68,"Male","Caucasian",0.47249,0,0,0,0.93599,0,0,0.93599,0.93599,0,0.93599,0.6,0,0,0.6,0,0.4,0.6,0,3,3,0.93599,1,1,1
"65",69,"Male","African-American",0.62239,0,0,0,0.94995,4,-0.00161,0.94834,0.94973,0,0.94834,0.55,1,1,0.85,0,0.18947,0,2,17,19,0.95697,3,2,2
"66",70,"Male","African-American",0.66834,0,0,0,0.93326,0,0,0.93326,0.93326,0,0.93323,0.85,0,0,0.85,0,0.3625,0.3,0,4,4,0.93323,4,3,1
"67",71,"Male","Caucasian",0.66648,0,0,0,0.93435,1,-0.00066,0.9337,0.9337,0,0.9337,0.85,1,2,0.85,0,0.33077,0,3,10,13,0.9464,2,2,1
"68",72,"Female","Other",0.67812,0,0,0,0.93894,0,-3e-05,0.93891,0.93894,0,0.93891,0.85,0,0,0.85,0.6,0.725,0.725,0,2,2,0.93891,2,2,1
"69",73,"Male","Caucasian",0.45162,0,0,0,0.94771,0,-3e-05,0.94768,0.94837,0,0.94768,0.85,0,0,0.85,0.85,0.85,0.85,0,1,1,0.94768,2,1,4
"70",74,"Male","Caucasian",0.70703,0,0,0,0.94432,0,0,0.94432,0.94432,0,0.94432,0.85,0,0,0.85,0,0.5125,0.6,0,4,4,0.94432,3,3,2
"71",75,"Male","Caucasian",0.47443,0,0,0,0.93348,20,0.00825,0.94173,0.94203,0,0.91812,0.85,1,1,0.9,0,0.69211,0.85,5,52,57,0.9417,6,4,4
"72",76,"Male","Caucasian",0.63075,0,0,0,0.94823,1,0,0.94823,0.94826,0,0.94823,0.85,0,0,0.9,0.4,0.64167,0.575,0,6,6,0.94823,9,10,9
"73",77,"Female","Hispanic",0.32767,0,0,0,0.94072,1,-0.00598,0.93473,0.93495,0,0.93473,1,0,0,1,1,1,1,0,3,3,0.85196,1,1,1
"74",78,"Male","African-American",0.65635,0,0,1,0.9485,3,-3e-05,0.94848,0.94853,0,0.94848,0.85,0,0,0.85,0,0.33333,0,0,12,12,0.94848,6,4,3
"75",79,"Male","African-American",0.64807,0,0,1,0.93225,15,-3e-05,0.93222,0.93594,0,0.93222,0.9,1,1,0.9,0,0.3675,0.475,5,35,40,0.96167,5,7,6
"76",80,"Male","African-American",0.71825,0,0,0,0.93727,2,-3e-05,0.93725,0.9373,0,0.93725,0.85,1,1,0.85,0,0.62308,0.6,4,9,13,0.95337,4,4,1
"77",81,"Male","African-American",0.68411,0,0,0,0.94864,0,-3e-05,0.94861,0.94864,0,0.94861,0.85,0,0,0.85,0,0.46667,0.55,0,3,3,0.94861,5,3,2
"78",82,"Male","Caucasian",0.64015,0,0,0,0.94588,3,-3e-05,0.94585,0.94588,0,0.94585,0.85,0,0,0.85,0,0.51667,0.6,0,18,18,0.94585,8,2,1
"79",83,"Male","Hispanic",0.66102,0,0,0,0.93069,0,0,0.93069,0.93132,0,0.93069,0.6,0,0,0.6,0,0.2,0,0,3,3,0.93069,7,3,1
"80",84,"Male","African-American",0.47175,0,0,0,0.93667,4,-3e-05,0.93665,0.93667,0,0.93665,0.6,0,0,0.6,0,0.26091,0.07,0,11,11,0.93665,1,1,1
"81",85,"Male","Caucasian",0.43055,0,0,0,0.93419,8,-0.00036,0.93383,0.93419,0,0.93383,0.85,0,0,0.85,0,0.54,0.725,1,19,20,0.94591,5,2,2
"82",86,"Female","Hispanic",0.64528,0,0,0,0.94932,0,-3e-05,0.9493,0.9493,0,0.9493,0.6,0,0,0.6,0,0.075,0,0,8,8,0.9493,1,1,1
"83",87,"Male","African-American",0.6051,0,0,0,0.93129,5,-3e-05,0.93126,0.93129,0,0.93126,0.85,0,0,0.85,0,0.2075,0,2,18,20,0.95386,3,2,1
"84",88,"Male","African-American",0.33414,0,0,0,0.93454,10,-0.00104,0.9335,0.93449,0,0.90979,0.6,1,1,0.9,0,0.56,0.6,1,24,25,0.93574,7,5,8
"85",89,"Male","African-American",0.62742,0,0,0,0.94296,2,-3e-05,0.94293,0.94296,0,0.94293,0.9,0,0,0.9,0,0.20227,0,1,21,22,0.94337,1,1,1
"86",90,"Male","African-American",0.69222,1,1,2,0.94673,15,-3e-05,0.9467,0.94673,0,0.9467,0.85,1,1,1,0,0.53714,0.6,1,34,35,0.94793,10,9,3
"87",91,"Male","Caucasian",0.57789,0,0,0,0.9311,4,-3e-05,0.93107,0.93113,0,0.93107,0.6,1,2,0.85,0,0.27258,0,9,22,31,0.9467,2,2,2
"88",92,"Male","Caucasian",0.49546,3,1,0,0.93233,9,-3e-05,0.9323,0.93236,0,0.9323,0.85,0,0,0.9,0,0.695,0.85,1,19,20,0.93386,6,3,4
"89",93,"Male","African-American",0.73506,0,0,1,0.93889,1,-3e-05,0.93886,0.93889,0,0.93886,0.85,1,2,0.85,0,0.27857,0,9,12,21,0.96167,4,6,1
"90",94,"Female","Caucasian",0.61807,0,0,0,0.94588,0,0,0.94588,0.94588,0,0.94588,0.6,0,0,0.6,0,0.08571,0,1,6,7,0.95025,1,1,1
"91",95,"Male","African-American",0.74331,0,1,2,0.93214,2,0.00191,0.93405,0.93744,0,0.92902,0.85,1,2,1,0,0.375,0.35,8,8,16,0.96216,10,9,3
"92",96,"Male","African-American",0.6643,0,0,0,0.93085,4,-3e-05,0.93083,0.93135,0,0.93083,0.85,1,4,0.9,0,0.39857,0.55,4,17,21,0.93662,9,5,5
"93",97,"Male","Hispanic",0.34212,0,0,0,0.93036,0,0,0.93036,0.93036,0,0.93034,0.55,0,0,0.55,0,0.36667,0.55,0,3,3,0.93034,1,1,1
"94",98,"Male","African-American",0.68577,0,1,0,0.94339,6,0,0.94339,0.94421,0,0.94339,0.9,1,1,0.9,0,0.42632,0.55,1,18,19,0.94867,6,3,3
"95",99,"Male","Other",0.63214,0,0,0,0.94197,0,-3e-05,0.94195,0.94197,0,0.94195,0.6,0,0,0.6,0,0.12,0,1,4,5,0.94451,1,1,1
"96",100,"Female","African-American",0.40135,0,0,0,0.93755,0,0,0.93755,0.93763,0,0.93752,0.6,0,0,0.6,0.6,0.6,0.6,0,1,1,0.93752,1,1,1
"97",101,"Male","Hispanic",0.50443,0,0,0,0.9305,6,-3e-05,0.93047,0.93708,0,0.93047,0.85,1,1,0.9,0,0.51,0.55,7,13,20,0.94099,1,1,1
"98",102,"Male","Hispanic",0.73847,0,0,0,0.93411,1,-3e-05,0.93408,0.93411,0,0.93408,0.85,0,0,0.85,0,0.51,0.55,0,5,5,0.93408,4,6,1
"99",103,"Female","Caucasian",0.65291,0,0,0,0.94864,2,-3e-05,0.94861,0.94864,0,0.94861,0.85,0,0,0.85,0,0.21842,0,0,19,19,0.94861,3,2,1
"100",104,"Male","African-American",0.62231,0,0,0,0.93039,0,0,0.93039,0.94184,0,0.93039,0.85,0,0,0.9,0.6,0.865,0.9,0,10,10,0.93039,4,4,5
"101",105,"Male","African-American",0.56956,0,0,0,0.93195,1,-3e-05,0.93192,0.93206,0,0.93192,0.6,0,0,0.6,0.6,0.6,0.6,0,1,1,0.84433,4,2,2
"102",106,"Male","African-American",0.72208,0,1,0,0.94733,4,-3e-05,0.9473,0.94733,0,0.9473,0.6,0,0,0.85,0,0.16429,0,6,15,21,0.95613,6,4,1
"103",107,"Male","African-American",0.66883,0,0,0,0.93034,5,0,0.93034,0.93036,0,0.93034,0.85,1,2,0.85,0,0.22667,0,10,35,45,0.95388,6,3,2
"104",108,"Male","Caucasian",0.69301,0,0,1,0.94932,1,-3e-05,0.9493,0.94968,0,0.9493,0.85,1,1,0.9,0.07,0.75286,0.85,2,5,7,0.95905,6,3,3
"105",110,"Female","Hispanic",0.71372,0,0,0,0.94837,1,-0.00888,0.93949,0.93949,0,0.93949,0.55,0,0,0.55,0,0.275,0.275,0,4,4,0.93949,4,2,1
"106",111,"Male","African-American",0.5633,0,0,0,0.93555,2,-0.00041,0.93514,0.93523,0,0.93514,0.85,0,0,0.85,0,0.32857,0,0,7,7,0.9337,2,1,3
"107",112,"Male","African-American",0.44875,0,0,0,0.94184,1,-0.00213,0.93971,0.94124,0,0.93971,0.85,0,0,0.9,0.4,0.51875,0.4,0,8,8,0.93708,1,1,6
"108",113,"Male","African-American",0.73779,0,0,0,0.93662,1,0,0.93662,0.93708,0,0.93659,0.6,1,2,0.6,0,0.25,0,11,5,16,0.96145,3,3,1
"109",114,"Male","Caucasian",0.73836,0,0,0,0.93151,0,-3e-05,0.93148,0.93307,0,0.93148,0.85,0,0,0.9,0.85,0.875,0.875,0,2,2,0.93148,8,6,3
"110",115,"Female","African-American",0.69733,0,0,0,0.93867,1,-3e-05,0.93864,0.9387,0,0.93864,0.9,1,3,0.9,0,0.58333,0.6,4,5,9,0.95741,4,3,2
"111",116,"Male","Caucasian",0.68845,0,0,0,0.94563,1,-0.00117,0.94446,0.94498,0,0.94443,0.85,1,1,0.9,0,0.33684,0,6,13,19,0.955,7,8,3
"112",117,"Female","African-American",0.37105,0,0,0,0.94279,2,0,0.94279,0.94279,0,0.94096,0.85,0,0,0.85,0,0.53125,0.85,0,8,8,0.91875,1,1,1
"113",118,"Male","Caucasian",0.63761,0,0,0,0.94298,3,-0.01063,0.93236,0.93427,0,0.92356,0.6,0,0,0.6,0,0.19583,0,0,12,12,0.92356,1,3,2
"114",119,"Male","African-American",0.63411,0,0,0,0.93187,0,-3e-05,0.93184,0.93187,0,0.93184,0.85,0,0,0.85,0,0.17,0,1,4,5,0.94208,2,1,4
"115",120,"Male","African-American",0.54587,0,0,0,0.93176,1,-3e-05,0.93173,0.93178,0,0.7901,0.55,0,0,0.6,0,0.275,0.35,0,8,8,0.75921,2,2,2
"116",121,"Male","Caucasian",0.46367,0,0,0,0.94328,0,-3e-05,0.94326,0.94328,0,0.94326,0.6,0,0,0.6,0,0.1,0,1,5,6,0.94369,1,1,1
"117",122,"Male","African-American",0.66312,0,0,0,0.93156,8,-3e-05,0.93154,0.93156,0,0.93154,0.6,1,2,1,0,0.51806,0.6,13,23,36,0.95929,10,9,7
"118",123,"Male","African-American",0.3021,0,0,0,0.94804,0,-3e-05,0.94801,0.94804,0,0.91056,0.4,0,0,0.4,0.4,0.4,0.4,0,1,1,0.90588,9,3,7
"119",124,"Male","African-American",0.43741,0,0,0,0.94553,3,-0.00869,0.93684,0.93708,0,0.9455,0.85,0,0,0.85,0,0.44545,0.6,0,11,11,0.9455,5,1,8
"120",126,"Male","Caucasian",0.74022,0,0,0,0.9449,3,-0.00014,0.94476,0.94476,0,0.94471,0.85,0,0,0.85,0.4,0.55,0.55,2,4,6,0.95875,6,5,2
"121",127,"Male","Other",0.45886,0,0,0,0.9461,0,-3e-05,0.94607,0.9461,0,0.94607,0.85,1,1,0.85,0,0.15556,0,1,8,9,0.95107,1,2,1
"122",128,"Male","African-American",0.71142,1,6,1,0.93315,14,-3e-05,0.93312,0.93331,0,0.93312,0.9,1,5,0.9,0,0.4337,0.55,18,28,46,0.96194,10,10,6
"123",130,"Male","Other",0.75396,0,0,0,0.93768,0,-3e-05,0.93766,0.93768,0,0.93766,0.85,1,2,0.9,0,0.48333,0.55,2,7,9,0.94094,5,8,1
"124",131,"Male","African-American",0.74126,1,0,0,0.94055,2,0,0.94055,0.94137,0,0.94055,0.85,1,2,0.9,0.55,0.7,0.6,7,7,14,0.94561,9,10,2
"125",132,"Male","African-American",0.72992,0,0,1,0.94219,2,0.00374,0.94593,0.94596,0,0.93695,0.55,1,2,0.9,0,0.49286,0.55,3,4,7,0.94716,7,8,3
"126",133,"Male","African-American",0.42162,0,0,0,0.9461,6,-3e-05,0.94607,0.94897,0,0.92249,1,0,0,1,0.6,0.75909,0.85,0,11,11,0.92225,6,5,9
"127",134,"Male","Caucasian",0.55912,0,0,0,0.94244,4,-3e-05,0.94241,0.94244,0,0.94241,0.85,0,0,0.9,0,0.37778,0.55,1,8,9,0.96063,5,4,2
"128",135,"Male","African-American",0.70981,0,0,0,0.9467,10,-0.00494,0.94175,0.9467,0,0.94293,0.9,0,0,0.9,0,0.50577,0.6,0,26,26,0.94175,7,6,1
"129",136,"Female","African-American",0.60794,0,0,0,0.93258,1,-3e-05,0.93255,0.93258,0,0.93255,0.55,0,0,0.55,0,0.055,0,0,10,10,0.92943,2,1,1
"130",137,"Male","African-American",0.5995,0,0,0,0.94337,9,0,0.94337,0.94348,0,0.94334,0.9,1,1,0.9,0,0.44821,0.6,3,25,28,0.95208,7,6,5
"131",138,"Male","Caucasian",0.69473,0,0,0,0.93047,7,0,0.93047,0.93047,0,0.93044,0.85,1,1,0.9,0,0.20962,0,16,36,52,0.96085,8,4,3
"132",139,"Male","Other",0.74735,0,0,0,0.93315,1,0,0.93315,0.93326,0,0.93312,0.85,1,2,0.85,0.6,0.71111,0.6,7,2,9,0.95927,6,6,1
"133",141,"Male","Caucasian",0.65613,0,0,1,0.94968,6,-0.00653,0.94315,0.94342,0,0.94965,0.85,0,0,0.85,0,0.4081,0.55,0,21,21,0.94965,5,4,2
"134",142,"Male","Caucasian",0.71115,0,0,0,0.9496,9,-3e-05,0.94957,0.9496,0,0.94957,0.85,1,1,0.9,0,0.475,0.6,9,25,34,0.9555,8,9,2
"135",143,"Male","African-American",0.24527,0,0,0,0.93025,12,0,0.93025,0.93025,0,0.90829,0.6,0,0,1,0,0.555,0.6,0,30,30,0.90829,7,3,8
"136",144,"Male","African-American",0.61671,0,0,0,0.94935,3,-0.00057,0.94878,0.94921,0,0.94878,0.6,0,0,0.9,0,0.32143,0.3,0,14,14,0.94878,3,2,7
"137",145,"Female","Caucasian",0.75768,0,0,0,0.93883,0,-3e-05,0.9388,0.93883,0,0.9388,0.85,0,0,0.85,0,0.48333,0.6,1,2,3,0.95369,7,8,2
"138",146,"Male","Caucasian",0.56701,0,0,0,0.93135,2,-5e-05,0.93129,0.93129,0,0.93126,0.85,1,1,0.85,0,0.245,0,11,19,30,0.95055,1,1,1
"139",147,"Male","Caucasian",0.29491,0,0,0,0.93861,3,-0.00175,0.93686,0.93768,0,0.93686,0.9,0,0,0.9,0,0.344,0.55,0,25,25,0.93686,1,1,1
"140",148,"Female","Caucasian",0.41984,0,0,0,0.93301,0,0,0.93301,0.93301,0,0.93299,0.6,0,0,0.6,0,0.4,0.6,0,3,3,0.93299,1,1,1
"141",150,"Female","Hispanic",0.51464,0,0,0,0.93648,0,-5e-05,0.93643,0.93646,0,0.93643,0.6,0,0,0.6,0,0.2,0,0,3,3,0.93643,1,1,1
"142",151,"Male","African-American",0.76672,0,0,0,0.9488,1,-0.00027,0.94853,0.94878,0,0.94853,0.55,1,5,0.85,0.55,0.675,0.6,5,1,6,0.95164,4,7,1
"143",152,"Male","African-American",0.71965,0,0,0,0.94173,1,-0.00374,0.93798,0.94173,0,0.93798,0.9,0,0,1,0.07,0.5925,0.65,2,2,4,0.9529,2,3,1
"144",153,"Male","African-American",0.65635,0,0,0,0.93703,1,-3e-05,0.937,0.93703,0,0.937,0.85,0,0,0.85,0,0.35,0.275,1,3,4,0.93722,2,2,6
"145",154,"Female","Caucasian",0.57376,0,0,0,0.93692,0,-3e-05,0.93689,0.93695,0,0.93689,0.85,1,1,0.9,0.55,0.67917,0.6,9,3,12,0.94563,1,1,2
"146",155,"Female","African-American",0.63917,0,0,0,0.9491,8,0,0.9491,0.94913,0,0.94908,0.6,0,0,0.85,0,0.21071,0,4,24,28,0.96197,3,1,3
"147",156,"Male","Caucasian",0.71812,0,1,2,0.9329,8,-3e-05,0.93288,0.9332,0,0.9329,0.85,1,2,0.9,0,0.3924,0.55,9,41,50,0.93605,6,6,5
