"","arrest_date","charge_degree","days_since_compas_arrest","decile_score"
"327",0.9405,0.85,3,5
"328",0.9393,0.85,1,9
"329",0.9393,0.6,1,9
"330",0.94369,0.6,1,5
"331",0.90567,0.55,1393,5
"332",0.91132,0.55,1186,5
"333",0.90567,0,1393,5
"334",0.93514,0.85,314,5
"335",0.94369,0.85,1,5
"336",0.94705,0.85,-122,5
"337",0.93514,0.6,314,5
"338",0.94369,0.55,1,5
"339",0.93793,0.55,212,5
"340",0.94777,0.85,1,5
"341",0.94777,0.85,1,5
"342",0.94326,0.85,1,1
"343",0.9491,0.6,-213,1
"344",0.9491,0.6,-213,1
"345",0.9491,0,-213,1
"346",0.9491,0,-213,1
"347",0.94785,0.85,0,6
"348",0.94785,0.85,0,6
"349",0.94785,0.6,0,6
"350",0.94785,0.6,0,6
"351",0.94785,0.55,0,6
"352",0.89408,0.55,1607,4
"353",0.88048,0.6,2105,4
"354",0.88048,0.6,2105,4
"355",0.89408,0.4,1607,4
"356",0.93796,0.6,1,4
"357",0.8754,0.6,2291,4
"358",0.8731,0.6,2375,4
"359",0.92938,0.85,687,5
"360",0.92938,0.55,687,5
"361",0.92938,0.55,687,5
"362",0.93077,0.6,1,6
"363",0.92012,0.85,391,6
"364",0.93077,0.85,1,6
"365",0.93536,0.85,-167,6
"366",0.93883,0.85,-294,6
"367",0.94148,0.85,-391,6
"368",0.95102,0.85,-740,6
"369",0.92012,0.6,391,6
"370",0.92012,0.6,391,6
"371",0.92012,0,391,6
"372",0.93252,0.85,1,3
"373",0.93252,0,1,3
"374",0.94621,0.85,-500,3
"375",0.94976,0.85,-630,3
"376",0.90405,0.9,1566,6
"377",0.87684,0.85,2562,6
"378",0.87947,0.85,2466,6
"379",0.8719,0.85,2743,6
"380",0.77858,0.85,6159,6
"381",0.77858,0.6,6159,6
"382",0.78041,0.85,6092,6
"383",0.78467,0.85,5936,6
"384",0.79554,0.85,5538,6
"385",0.78041,0.35,6092,6
"386",0.78041,0.35,6092,6
"387",0.92506,0.85,797,6
"388",0.92506,0,797,6
"389",0.91586,0.55,1134,6
"390",0.91586,0.55,1134,6
"391",0.91586,0,1134,6
"392",0.94678,1,2,6
"393",0.94678,0.6,2,6
"394",0.94678,0.55,2,6
"395",0.81117,0.85,4966,6
"396",0.88646,1,2210,6
"397",0.88646,1,2210,6
"398",0.8124,1,4921,6
"399",0.80415,1,5223,6
"400",0.83059,1,4255,6
"401",0.87996,0.85,2448,6
"402",0.87996,0.85,2448,6
"403",0.95596,0.6,-334,6
"404",0.79196,0.85,5669,6
"405",0.83059,0.85,4255,6
"406",0.83059,0.85,4255,6
"407",0.83059,0.6,4255,6
"408",0.83059,0.35,4255,6
"409",0.8719,0.85,2743,6
"410",0.8631,0.85,3065,6
"411",0.8631,0,3065,6
"412",0.90594,0.9,1497,6
"413",0.90405,0.9,1566,6
"414",0.8928,0.9,1978,6
"415",0.90537,0.9,1518,6
"416",0.94615,0.6,46,4
"417",0.91132,0.85,1321,4
"418",0.90228,0.85,1652,4
"419",0.90228,0.9,1652,4
"420",0.91132,0.9,1321,4
"421",0.90228,0,1652,4
"422",0.94692,0.6,18,4
"423",0.94692,0.6,18,4
"424",0.89769,0.85,1820,4
"425",0.90017,0.85,1729,4
"426",0.90228,0.85,1652,4
"427",0.91132,0.85,1321,4
"428",0.88908,0.85,2135,4
"429",0.88908,0.85,2135,4
"430",0.88908,0.6,2135,4
"431",0.94012,0.85,0,3
"432",0.94012,0.6,0,3
"433",0.93621,0.85,1,4
"434",0.94394,0.85,-282,4
"435",0.93621,0.6,1,4
"436",0.91613,0.85,736,4
"437",0.91613,0.55,736,4
"438",0.93973,0.85,-128,4
"439",0.94394,0.85,-282,4
"440",0.88862,0.6,1743,4
"441",0.88862,0,1743,4
"442",0.88296,0.85,1950,4
"443",0.88927,0.85,1719,4
"444",0.88296,0.6,1950,4
"445",0.88296,0,1950,4
"446",0.88296,0.85,1950,4
"447",0.94247,0.6,1,2
"448",0.94247,0.85,1,2
"449",0.95826,0.85,-577,2
"450",0.95968,0.85,-629,2
"451",0.93364,0.85,2,4
"452",0.94446,0.6,-410,1
"453",0.93326,0.6,0,1
"454",0.95099,0.6,-649,1
"455",0.95099,0.6,-649,1
"456",0.96246,0.9,-1069,1
"457",0.93413,0.55,1,4
"458",0.93413,0.55,1,4
"459",0.93413,0,1,4
"460",0.94042,0.85,-229,4
"461",0.9449,0.85,-393,4
"462",0.94818,0.85,-513,4
"463",0.95531,0.85,-774,4
"464",0.96189,0.85,-1015,4
"465",0.94042,0.6,-229,4
"466",0.9449,0.6,-393,4
"467",0.95531,0.6,-774,4
"468",0.94042,0,-229,4
"469",0.9449,0,-393,4
"470",0.96189,0.6,-1015,4
"471",0.94498,0.85,-396,4
"472",0.94481,0.85,-390,4
"473",0.94818,0.85,-513,4
"474",0.96189,0.85,-1015,4
"475",0.94481,0.6,-390,4
"476",0.94818,0.55,-513,4
"477",0.94481,0,-390,4
"478",0.96189,0.55,-1015,4
"479",0.95531,0.55,-774,4
"480",0.94481,0.6,-390,4
"481",0.9329,0.6,425,7
"482",0.9329,0.55,425,7
"483",0.94449,0.85,1,7
"484",0.94449,0.55,1,7
"485",0.9376,0.4,253,7
"486",0.95192,0.4,-271,7
"487",0.94449,0.55,1,7
"488",0.93148,0.6,477,7
"489",0.93148,0.55,477,7
"490",0.91031,0.85,1076,5
"491",0.91031,0.6,1076,5
"492",0.93968,0.6,1,5
"493",0.93296,0.6,1,1
"494",0.93296,0,1,1
"495",0.93296,0,1,1
"496",0.93296,0,1,1
"497",0.94249,0.6,1,2
"498",0.94178,0.6,126,7
"499",0.90758,0.85,1378,7
"500",0.90758,0.6,1378,7
"501",0.90758,0.6,1378,7
"502",0.89772,0.85,1739,7
"503",0.89916,0.85,1686,7
"504",0.90069,0.85,1630,7
"505",0.90277,0.85,1554,7
"506",0.91031,0.85,1278,7
"507",0.90758,0.85,1378,7
"508",0.91031,0.85,1278,7
"509",0.90277,0.85,1554,7
"510",0.89772,0.85,1739,7
"511",0.90069,0.85,1630,7
"512",0.90758,0.85,1378,7
"513",0.91957,0.85,939,7
"514",0.91957,0,939,7
"515",0.90758,0.6,1378,7
"516",0.91957,0.6,939,7
"517",0.95626,0.55,-404,7
"518",0.89813,0.85,1724,7
"519",0.9452,0.85,1,7
"520",0.95626,0.85,-404,7
"521",0.9452,0.6,1,7
"522",0.9452,0.55,1,7
"523",0.93299,0.6,1,8
"524",0.90832,0.6,904,8
"525",0.95618,0.9,-848,8
"526",0.86496,0.9,2491,8
"527",0.90832,0.9,904,8
"528",0.91523,0.9,651,8
"529",0.9161,0.9,619,8
"530",0.93299,0.9,1,8
"531",0.88285,0.9,1836,8
"532",0.95618,0.9,-848,8
"533",0.95965,0.85,-975,8
"534",0.90796,0.55,863,2
"535",0.90796,0.55,863,2
"536",0.90796,0.55,863,2
"537",0.90796,0.55,863,2
"538",0.90796,0,863,2
"539",0.952,0.6,-749,2
"540",0.952,0.85,-749,2
"541",0.84067,0.55,3326,2
"542",0.95334,0.55,-798,2
"543",0.93151,0.55,1,2
"544",0.93151,0,1,2
"545",0.952,0.85,-749,2
"546",0.952,0.6,-749,2
"547",0.90108,0.85,1115,2
"548",0.90796,0.55,863,2
"549",0.90108,0.85,1115,2
"550",0.90796,0.55,863,2
"551",0.93151,0.85,1,2
"552",0.93151,0,1,2
"553",0.87138,0.6,2202,2
"554",0.87138,0.6,2202,2
"555",0.94973,0.6,0,5
"556",0.8737,0.85,2783,5
"557",0.89493,0.6,2006,5
"558",0.9367,0.6,477,5
"559",0.90894,0.55,1099,5
"560",0.90894,1,1099,5
"561",0.90894,1,1099,5
"562",0.92558,0,490,5
"563",0.92558,0.6,490,5
"564",0.93894,0.9,1,5
"565",0.90894,1,1099,5
"566",0.90894,1,1099,5
"567",0.93894,0.85,165,9
"568",0.95025,0.85,-249,9
"569",0.95812,0.85,-537,9
"570",0.93894,0,165,9
"571",0.81893,0.6,4558,9
"572",0.81893,0.6,4558,9
"573",0.83092,0.85,4119,9
"574",0.84029,0.85,3776,9
"575",0.83382,0.85,4013,9
"576",0.81893,0.85,4558,9
"577",0.83382,0.85,4013,9
"578",0.84029,0.85,3776,9
"579",0.81893,0.85,4558,9
"580",0.83092,0.85,4119,9
"581",0.93703,0.6,235,9
"582",0.84029,0.9,3776,9
"583",0.84029,0.85,3776,9
"584",0.87062,0.85,2666,9
"585",0.87652,0.85,2450,9
"586",0.87193,0.85,2618,9
"587",0.87652,0.85,2450,9
"588",0.87086,0.9,2657,9
"589",0.87086,0.6,2657,9
"590",0.95014,0.85,-245,9
"591",0.95812,0.85,-537,9
"592",0.95014,0.85,-245,9
"593",0.95812,0.85,-537,9
"594",0.95014,0.85,-245,9
"595",0.95014,0,-245,9
"596",0.86843,1,2746,9
"597",0.86941,0.9,2710,9
"598",0.87105,0.9,2650,9
"599",0.87652,0.9,2450,9
"600",0.86941,0.9,2710,9
"601",0.94932,0.9,1,2
"602",0.94932,0.9,1,2
"603",0.94932,0.85,1,2
"604",0.94241,0.85,1,2
"605",0.94241,0.85,1,2
"606",0.94241,0,1,2
"607",0.89222,0.85,1688,4
"608",0.89222,0,1688,4
"609",0.87157,0.55,2444,4
"610",0.88542,0.55,1937,4
"611",0.93831,0.6,1,4
"612",0.88542,0.85,1937,4
"613",0.88542,0.55,1937,4
"614",0.89203,0.85,1695,4
"615",0.89203,0.6,1695,4
"616",0.9158,0.9,567,10
"617",0.93126,0.9,1,10
"618",0.94058,0.9,-340,10
"619",0.94626,0.9,-548,10
"620",0.94058,0.6,-340,10
"621",0.93126,0.6,1,10
"622",0.92474,0.6,240,10
"623",0.92501,0.6,230,10
"624",0.92474,0.6,240,10
"625",0.92501,0.6,230,10
"626",0.91394,0.6,635,10
"627",0.91394,0,635,10
"628",0.91892,0.6,453,10
"629",0.9123,0.55,695,10
"630",0.93178,0.6,1,8
"631",0.93178,0,1,8
"632",0.83379,0.85,3588,8
"633",0.83379,0.85,3588,8
"634",0.85674,0.85,2748,8
"635",0.94703,0.9,1,4
"636",0.82598,0.85,4432,4
"637",0.83425,0.85,4129,4
"638",0.83991,0.85,3922,4
"639",0.82598,0.6,4432,4
"640",0.83425,0.6,4129,4
"641",0.94533,0.4,-346,9
"642",0.94596,0.6,-369,9
"643",0.94613,0.6,-375,9
"644",0.95539,0.6,-714,9
"645",0.93717,0.85,-47,9
"646",0.93902,0.85,-115,9
"647",0.93583,0.9,2,9
"648",0.96252,0.6,-975,9
"649",0.94533,0.6,-346,9
"650",0.95539,0.85,-714,9
"651",0.95539,0.85,-714,9
"652",0.9597,0.85,-872,9
"653",0.95539,0.6,-714,9
"654",0.95539,0.6,-714,9
"655",0.9597,0.6,-872,9
"656",0.95353,0.6,-646,9
"657",0.93902,0.6,-115,9
"658",0.9488,0.6,-473,9
"659",0.93646,0.85,-116,5
"660",0.93329,0.9,0,5
"661",0.92454,0.55,320,5
"662",0.92454,0,320,5
"663",0.94634,0.6,1,1
"664",0.90673,0.55,1273,1
"665",0.82958,0.55,4097,1
"666",0.84857,0.6,3402,1
"667",0.84857,0.85,3402,1
"668",0.84857,0.6,3402,1
"669",0.84857,0.55,3402,1
"670",0.84857,0,3402,1
"671",0.87485,0.55,2440,1
"672",0.87485,0,2440,1
"673",0.85245,0.85,3260,1
"674",0.92408,0.4,638,1
"675",0.83906,0.85,3750,1
"676",0.84267,0.85,3618,1
"677",0.83906,0.6,3750,1
"678",0.83906,0.35,3750,1
"679",0.83906,0.55,3750,1
"680",0.83906,0.55,3750,1
"681",0.93749,1,147,1
"682",0.93749,0.85,147,1
"683",0.93525,0.85,2,3
"684",0.95088,0.85,-570,3
"685",0.95088,0.6,-570,3
"686",0.95088,0.6,-570,3
"687",0.93525,0.85,2,3
"688",0.93085,0.6,1,1
"689",0.93435,0.85,16,1
"690",0.95785,0.85,-844,1
"691",0.93435,0.6,16,1
"692",0.95785,0.6,-844,1
"693",0.93296,0.55,67,1
"694",0.93889,0.55,-150,1
"695",0.91597,0.55,689,1
"696",0.95921,0.85,-498,4
"697",0.95921,0.6,-498,4
"698",0.94558,0.9,1,4
"699",0.94662,0.85,1,1
"700",0.94662,0.85,1,1
"701",0.9461,0.9,1,5
"702",0.9461,0.9,1,5
"703",0.9461,0.85,1,5
"704",0.93244,1,1,2
"705",0.89501,0.85,1541,4
"706",0.89501,0.85,1541,4
"707",0.93708,1,1,4
"708",0.93708,0.9,1,4
"709",0.93708,0.6,1,4
"710",0.86646,0.9,2586,4
"711",0.94837,0.6,1,3
"712",0.94102,0.85,0,2
"713",0.95309,0.85,-442,2
"714",0.93722,0.6,1,2
"715",0.93378,0.9,1,9
"716",0.93446,0.9,-24,9
"717",0.94039,0.9,3,4
"718",0.94039,0.6,3,4
"719",0.94039,0.6,3,4
"720",0.94039,0.6,3,4
"721",0.94039,0.6,3,4
"722",0.9346,0.9,215,4
"723",0.94889,0.6,0,1
"724",0.94889,0.6,0,1
"725",0.93154,0.85,1,4
"726",0.94375,0.85,1,5
"727",0.94375,0.85,1,5
"728",0.94869,0.6,1,4
"729",0.93132,0.9,8,8
"730",0.93255,0.9,-37,8
"731",0.94124,0.9,-355,8
"732",0.9579,0.9,-965,8
"733",0.93132,0.85,8,8
"734",0.93255,0.55,-37,8
"735",0.94124,0.55,-355,8
"736",0.942,0.85,1,4
"737",0.942,0.6,1,4
"738",0.942,0.85,1,4
"739",0.9302,0.85,1,1
"740",0.94654,0.55,1,4
"741",0.94654,0.85,1,4
"742",0.94654,0.85,1,4
"743",0.92872,0.6,543,8
"744",0.92594,1,645,8
"745",0.90307,0.85,1482,8
"746",0.91446,0.55,1065,8
"747",0.94353,0.85,1,8
"748",0.92872,0.9,543,8
"749",0.92594,0.9,645,8
"750",0.91433,0.9,1070,8
"751",0.92872,0.85,62,7
"752",0.92872,0.9,62,7
"753",0.93916,0.9,-320,7
"754",0.93982,0.9,-344,7
"755",0.92872,0.6,62,7
"756",0.92872,0.6,62,7
"757",0.92632,0.6,150,7
"758",0.93982,0.6,-344,7
"759",0.92632,0.6,150,7
"760",0.93982,0.85,-344,7
"761",0.93982,0.6,-344,7
"762",0.92632,0.6,150,7
"763",0.93039,0.85,1,7
"764",0.93916,0.85,-320,7
"765",0.93982,0.85,-344,7
"766",0.93039,0.85,1,7
"767",0.93916,0.85,-320,7
"768",0.93982,0.85,-344,7
"769",0.93039,0.85,1,7
"770",0.93039,0.55,1,7
"771",0.94665,0.85,1,1
"772",0.94665,0.6,1,1
"773",0.94665,0.6,1,1
"774",0.94665,0.6,1,1
"775",0.8943,0.55,1586,9
"776",0.88425,0.6,1954,9
"777",0.88425,0.55,1954,9
"778",0.88425,0,1954,9
"779",0.88561,0.85,1904,9
"780",0.8943,0.85,1586,9
"781",0.88561,0.55,1904,9
"782",0.88561,0.55,1904,9
"783",0.94214,0.85,-165,9
"784",0.94214,0,-165,9
"785",0.8943,0.55,1586,9
"786",0.8943,0,1586,9
"787",0.95263,0.85,-549,9
"788",0.95263,0.85,-549,9
"789",0.96112,0.85,-860,9
"790",0.87439,0,2315,9
"791",0.87439,0.55,2315,9
"792",0.87439,0.85,2315,9
"793",0.87534,0.85,2280,9
"794",0.8943,0.6,1586,9
"795",0.92064,0.6,622,9
"796",0.92064,0.85,622,9
"797",0.85911,0.55,2874,9
"798",0.85911,0,2874,9
"799",0.8943,0.55,1586,9
"800",0.8943,0,1586,9
"801",0.88561,0.55,1904,9
"802",0.88561,0,1904,9
"803",0.85838,0.55,2901,9
"804",0.87444,0.85,2313,9
"805",0.871,0.85,2439,9
"806",0.871,0.6,2439,9
"807",0.871,0.85,2439,9
"808",0.94861,0.9,-402,9
"809",0.95137,0.85,-503,9
"810",0.96112,0.85,-860,9
"811",0.94861,0.85,-402,9
"812",0.95137,0.85,-503,9
"813",0.96112,0.85,-860,9
"814",0.92987,0.55,284,9
"815",0.94135,0.55,-136,9
"816",0.94533,0.55,-282,9
"817",0.92987,0,284,9
"818",0.92987,0,284,9
"819",0.92987,0,284,9
"820",0.89668,0.85,1499,9
"821",0.89668,0.55,1499,9
"822",0.86384,0.55,2701,9
"823",0.86895,0.55,2514,9
"824",0.92818,0.85,346,9
"825",0.92064,0.4,622,9
"826",0.85838,0.55,2901,9
"827",0.94214,0.85,-165,9
"828",0.94533,0.6,-282,9
"829",0.94214,0,-165,9
"830",0.82846,0.85,3996,9
"831",0.84573,0.85,3364,9
"832",0.87105,0.85,2437,9
"833",0.86895,0.85,2514,9
"834",0.87444,0.85,2313,9
"835",0.86895,0.6,2514,9
"836",0.87105,0.6,2437,9
"837",0.86895,0,2514,9
"838",0.84573,0.85,3364,9
"839",0.92987,0.55,284,9
"840",0.92818,0.85,346,9
"841",0.89482,0.55,1567,9
"842",0.89482,0,1567,9
"843",0.89482,0,1567,9
"844",0.93763,0.85,0,9
"845",0.94533,0.85,-282,9
"846",0.93763,0.85,0,9
"847",0.94533,0.55,-282,9
"848",0.93763,0,0,9
